seed,eta,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21001,0.6,h_D,C7,h_D->C7,6,0.02713846912696334,0.08821930349434139,0.3076250667564661
21001,0.6,h_E,C6,h_E->C6,6,0.022849052504553997,0.07470165467328177,0.30587076824712495
21001,0.6,h_I,C2,h_I->C2,6,0.031573352018875074,0.14509707623825563,0.2176015729415021
21001,0.6,h_I,C4,h_I->C4,6,0.039414318309819146,0.10153005089207162,0.38820347240177305
21001,0.6,h_I,C5,h_I->C5,5,0.0807933721912282,0.15644224552399744,0.5164421663732669
21001,0.6,h_T,C3,h_T->C3,5,0.029329501178277206,0.09397233323699111,0.31210783182320606
21001,0.6,h_T,C7,h_T->C7,6,0.040995770172092424,0.08821930349434139,0.4647029453622618
21001,0.7,h_D,C1,h_D->C1,6,0.07134093084184037,0.1224076117071453,0.5828144985945606
21001,0.7,h_D,C2,h_D->C2,6,0.05223473211559218,0.15211082478391733,0.3433991774711063
21001,0.7,h_D,C3,h_D->C3,5,0.045809145837561197,0.09425568518326512,0.48600936641653625
21001,0.7,h_D,C4,h_D->C4,6,0.04156048538651956,0.10386932094286291,0.4001228178720961
21001,0.7,h_D,C6,h_D->C6,6,0.036364362352305696,0.07912667407333669,0.45957147545646454
21001,0.7,h_D,C7,h_D->C7,6,0.028138166975479648,0.09261307048053975,0.3038250090314016
21001,0.7,h_E,C6,h_E->C6,6,0.023314821138156763,0.07912667407333669,0.29465185300538876
21001,0.7,h_I,C2,h_I->C2,6,0.03287484491319244,0.15211082478391733,0.21612429595117263
21001,0.7,h_I,C4,h_I->C4,6,0.04011227526381772,0.10386932094286291,0.3861802012308981
21001,0.7,h_I,C5,h_I->C5,5,0.08359145750460638,0.15982805503981115,0.5230086637997428
21001,0.7,h_T,C3,h_T->C3,5,0.030030630773916656,0.09425568518326512,0.3186081636901613
21001,0.7,h_T,C7,h_T->C7,6,0.04263512896770921,0.09261307048053975,0.46035757961623275
21001,0.8,h_D,C1,h_D->C1,6,0.07432243259294954,0.12982019303942063,0.5725028660973306
21001,0.8,h_D,C2,h_D->C2,6,0.054789519230888,0.15965972355006305,0.3431643122779489
21001,0.8,h_D,C3,h_D->C3,5,0.047318667981933,0.10175013020789478,0.46504773885583195
21001,0.8,h_D,C4,h_D->C4,6,0.04232724179401512,0.10700204416937606,0.3955741418044197
21001,0.8,h_D,C6,h_D->C6,6,0.03724484569756113,0.08377009243090303,0.44460790977206555
21001,0.8,h_D,C7,h_D->C7,6,0.0290465401250755,0.09614539532092796,0.30211056939146863
21001,0.8,h_E,C6,h_E->C6,6,0.02364505695342495,0.08377009243090303,0.28226132103944007
21001,0.8,h_I,C2,h_I->C2,6,0.03426354128991457,0.15965972355006305,0.21460353636999915
21001,0.8,h_I,C4,h_I->C4,6,0.040602564832168286,0.10700204416937606,0.3794559734533489
21001,0.8,h_I,C5,h_I->C5,5,0.08614731359552921,0.16398110436587204,0.525349026817098
21001,0.8,h_T,C3,h_T->C3,5,0.03064070724480289,0.10175013020789478,0.30113678657606613
21001,0.8,h_T,C7,h_T->C7,6,0.04421343045610452,0.09614539532092796,0.459860093227166
21001,0.9,h_D,C1,h_D->C1,6,0.0773739802421183,0.13690636651743857,0.5651598403329006
21001,0.9,h_D,C2,h_D->C2,6,0.0570056651384353,0.16645897879176474,0.3424607404891342
21001,0.9,h_D,C3,h_D->C3,5,0.0482442808145906,0.11022983232515025,0.43766991019132134
21001,0.9,h_D,C4,h_D->C4,6,0.042949599534477884,0.10949072665231603,0.39226700604947634
21001,0.9,h_D,C6,h_D->C6,6,0.038159952986377546,0.08904489582164904,0.4285473370914019
21001,0.9,h_D,C7,h_D->C7,6,0.03008188988888877,0.10059943415798049,0.29902643230924536
21001,0.9,h_E,C6,h_E->C6,6,0.02403262666397034,0.08904489582164904,0.2698933660592538
21001,0.9,h_I,C2,h_I->C2,6,0.03558176015298663,0.16645897879176474,0.21375692925092732
21001,0.9,h_I,C4,h_I->C4,6,0.040912768203492725,0.10949072665231603,0.37366423124614123
21001,0.9,h_I,C5,h_I->C5,5,0.08922379689463164,0.16698915803285708,0.5343089212806349
21001,0.9,h_T,C3,h_T->C3,5,0.03127753510617313,0.11022983232515025,0.283748368714093
21001,0.9,h_T,C7,h_T->C7,6,0.04586059704898105,0.10059943415798049,0.45587331014711363
21001,1.0,h_D,C1,h_D->C1,6,0.08048258052634125,0.14372685545306813,0.5599689791589553
21001,1.0,h_D,C2,h_D->C2,6,0.05899100240774376,0.17403763327481336,0.33895543910468673
21001,1.0,h_D,C3,h_D->C3,5,0.04904751115060041,0.11775308984643884,0.4165284428132329
21001,1.0,h_D,C4,h_D->C4,6,0.04354278470090783,0.11358079401780298,0.3833639751954846
21001,1.0,h_D,C6,h_D->C6,6,0.03904296301035687,0.09427944569634285,0.4141195646789557
21001,1.0,h_D,C7,h_D->C7,6,0.03095897667867245,0.10511354900863032,0.2945288877634228
21001,1.0,h_E,C6,h_E->C6,6,0.024367839705339973,0.09427944569634285,0.2584639687378513
21001,1.0,h_I,C2,h_I->C2,6,0.03683720842065566,0.17403763327481336,0.21166231536989683
21001,1.0,h_I,C4,h_I->C4,6,0.04139259611975538,0.11358079401780298,0.36443305822376054
21001,1.0,h_I,C5,h_I->C5,5,0.09157115860056803,0.17094016011281957,0.5356913117408798
21001,1.0,h_T,C3,h_T->C3,5,0.03195988238171095,0.11775308984643884,0.2714143843114286
21001,1.0,h_T,C7,h_T->C7,6,0.04745993871310877,0.10511354900863032,0.451511143523092
21002,0.0,h_D,C1,h_D->C1,6,0.05438099777725473,0.08524330415920538,0.6379503740851206
21002,0.0,h_D,C2,h_D->C2,6,0.04139537745074999,0.0913497034199943,0.45315283904070525
21002,0.0,h_D,C3,h_D->C3,5,0.020933694293097677,0.07652853962390922,0.2735410135316888
21002,0.0,h_D,C4,h_D->C4,6,0.019580067995233753,0.12063430160980734,0.16230929125285887
21002,0.0,h_D,C6,h_D->C6,6,0.020749016012194792,0.04549930283382854,0.4560293173615829
21002,0.0,h_D,C7,h_D->C7,6,0.022561622316918065,0.07800058085438377,0.2892494141645973
21002,0.0,h_E,C6,h_E->C6,6,0.014087701131781073,0.04549930283382854,0.30962454925786914
21002,0.0,h_I,C2,h_I->C2,6,0.028149299249114936,0.0913497034199943,0.308148775474246
21002,0.0,h_I,C4,h_I->C4,6,0.019536131328750685,0.12063430160980734,0.1619450775433551
21002,0.0,h_I,C5,h_I->C5,5,0.06863807327123164,0.1467063190559602,0.46786037378923134
21002,0.0,h_T,C3,h_T->C3,5,0.014180426780627892,0.07652853962390922,0.18529592816131973
21002,0.0,h_T,C7,h_T->C7,6,0.03466672239635993,0.07800058085438377,0.4444418492297311
21002,0.1,h_D,C1,h_D->C1,6,0.05733330606862045,0.08880916825864915,0.6455786850857165
21002,0.1,h_D,C2,h_D->C2,6,0.043583255320767955,0.09469288715680604,0.4602590186962649
21002,0.1,h_D,C3,h_D->C3,5,0.024376266020186242,0.0859510783029544,0.2836062851239965
21002,0.1,h_D,C4,h_D->C4,6,0.02266680375849593,0.11673473529797845,0.19417359966116515
21002,0.1,h_D,C6,h_D->C6,6,0.022823886132001675,0.04957630673974664,0.46037891146987725
21002,0.1,h_D,C7,h_D->C7,6,0.023775575973540457,0.08119180729074568,0.29283220520154113
21002,0.1,h_E,C6,h_E->C6,6,0.015462312413018008,0.04957630673974664,0.311889154911767
21002,0.1,h_I,C2,h_I->C2,6,0.029701642159332662,0.09469288715680604,0.31366286371472407
21002,0.1,h_I,C4,h_I->C4,6,0.022648087563780082,0.11673473529797845,0.1940132686794063
