seed,eta,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
21001,1.0,C2,0.06563174823724979,0.05434536388888775,0.2090059103996792
21001,1.0,C3,0.050813002300533226,0.04905742613629105,0.13939273762799775
21001,1.0,C4,0.03950800010655055,0.03292196087850778,0.14535824380306653
21001,1.0,C5,0.04677407383170255,0.03373943970723243,0.1530931756071952
21001,1.0,C6,0.03859097308617287,0.0330036992859539,0.10261760563683184
21001,1.0,C7,0.04505524911021019,0.04207287944601236,0.16208501651704552
21002,0.0,C1,0.0,0.0,0.0
21002,0.0,C2,0.0,0.0,0.0
21002,0.0,C3,0.0,0.0,0.0
21002,0.0,C4,0.0,0.0,0.0
21002,0.0,C5,0.0,0.0,0.0
21002,0.0,C6,0.0,0.0,0.0
21002,0.0,C7,0.0,0.0,0.0
21002,0.1,C1,0.004419395521362437,0.003649624439731946,0.018045583190518744
21002,0.1,C2,0.0066327358178466835,0.004904862502106658,0.021832400025658838
21002,0.1,C3,0.007398276908916196,0.0066133232561224435,0.02092020832410016
21002,0.1,C4,0.006865140091435696,0.006735736654998464,0.01604086381282674
21002,0.1,C5,0.005596710669087376,0.005499496502560975,0.014237401379444792
21002,0.1,C6,0.004484001079673623,0.0038771707439643806,0.013670857365130122
21002,0.1,C7,0.004121285995564574,0.0028079736889048707,0.015198466687292383
21002,0.2,C1,0.008838791042724874,0.007299248879463895,0.03609116638103749
21002,0.2,C2,0.013265471635693369,0.009809725004213309,0.043664800051317676
21002,0.2,C3,0.014796553817832396,0.01322664651224488,0.04184041664820032
21002,0.2,C4,0.013730280182871393,0.013471473309996942,0.032081727625653506
21002,0.2,C5,0.01119342133817475,0.010998993005121954,0.02847480275888961
21002,0.2,C6,0.008968002159347246,0.007754341487928758,0.027341714730260223
21002,0.2,C7,0.00824257199112915,0.005615947377809748,0.03039693337458474
21002,0.3,C1,0.01325818656408731,0.010948873319195838,0.05413674957155623
21002,0.3,C2,0.01989820745354005,0.014714587506319966,0.06549720007697651
21002,0.3,C3,0.022194830726748587,0.019839969768367317,0.06276062497230048
21002,0.3,C4,0.020595420274307087,0.02020720996499542,0.04812259143848027
21002,0.3,C5,0.016790132007262124,0.016498489507682925,0.0427122041383344
21002,0.3,C6,0.013452003239020866,0.01163151223189314,0.04101257209539035
21002,0.3,C7,0.01236385798669372,0.008423921066714617,0.045595400061877095
21002,0.4,C1,0.01767758208544975,0.01459849775892778,0.07218233276207497
21002,0.4,C2,0.026530943271386737,0.019619450008426617,0.08732960010263535
21002,0.4,C3,0.029593107635664785,0.026453293024489764,0.08368083329640061
21002,0.4,C4,0.027460560365742785,0.0269429466199939,0.06416345525130698
21002,0.4,C5,0.0223868426763495,0.021997986010243904,0.05694960551777922
21002,0.4,C6,0.01793600431869449,0.015508682975857519,0.054683429460520454
21002,0.4,C7,0.0164851439822583,0.011231894755619493,0.06079386674916945
21002,0.5,C1,0.022096977606812184,0.018248122198659733,0.09022791595259372
21002,0.5,C2,0.033163679089233414,0.024524312510533268,0.10916200012829419
21002,0.5,C3,0.03699138454458098,0.03306661628061219,0.1046010416205008
21002,0.5,C4,0.03432570045717848,0.03367868327499236,0.08020431906413375
21002,0.5,C5,0.02798355334543688,0.027497482512804875,0.07118700689722401
21002,0.5,C6,0.02242000539836811,0.019385853719821895,0.06835428682565059
21002,0.5,C7,0.02060642997782287,0.014039868444524366,0.0759923334364618
21002,0.6,C1,0.026516373128174616,0.021897746638391672,0.10827349914311246
21002,0.6,C2,0.0397964149070801,0.029429175012639926,0.13099440015395303
21002,0.6,C3,0.044389661453497174,0.03967993953673464,0.12552124994460093
21002,0.6,C4,0.041190840548614174,0.04041441992999083,0.09624518287696052
21002,0.6,C5,0.03358026401452425,0.03299697901536586,0.0854244082766688
21002,0.6,C6,0.026904006478041732,0.02326302446378628,0.08202514419078069
21002,0.6,C7,0.02472771597338744,0.016847842133429235,0.09119080012375416
21002,0.7,C1,0.030935768649537048,0.025547371078123625,0.1263190823336312
21002,0.7,C2,0.04642915072492679,0.034334037514746577,0.15282680017961187
21002,0.7,C3,0.05178793836241336,0.04629326279285709,0.14644145826870106
21002,0.7,C4,0.048055980640049865,0.047150156584989306,0.11228604668978728
21002,0.7,C5,0.03917697468361163,0.03849647551792683,0.0996618096561136
21002,0.7,C6,0.031388007557715356,0.027140195207750656,0.09569600155591082
21002,0.7,C7,0.028849001968952015,0.01965581582233411,0.10638926681104652
21002,0.8,C1,0.0353551641708995,0.029196995517855564,0.14436466552415
21002,0.8,C2,0.05306188654277347,0.039238900016853234,0.1746592002052707
21002,0.8,C3,0.05918621527132957,0.05290658604897952,0.16736166659280124
21002,0.8,C4,0.05492112073148557,0.053885893239987784,0.12832691050261405
21002,0.8,C5,0.044773685352698996,0.0439959720204878,0.11389921103555845
21002,0.8,C6,0.035872008637388986,0.03101736595171503,0.10936685892104092
21002,0.8,C7,0.0329702879645166,0.02246378951123898,0.12158773349833893
21002,0.9,C1,0.03977455969226193,0.03284661995758752,0.16241024871466875
21002,0.9,C2,0.05969462236062015,0.04414376251895989,0.1964916002309296
21002,0.9,C3,0.06658449218024577,0.05951990930510195,0.18828187491690138
21002,0.9,C4,0.06178626082292126,0.06062162989498626,0.14436777431544082
21002,0.9,C5,0.05037039602178638,0.049495468523048786,0.12813661241500324
21002,0.9,C6,0.0403560097170626,0.03489453669567942,0.12303771628617105
21002,0.9,C7,0.03709157396008116,0.02527176320014386,0.13678620018563123
21002,1.0,C1,0.04419395521362437,0.036496244397319466,0.1804558319051875
21002,1.0,C2,0.06632735817846683,0.04904862502106654,0.21832400025658838
21002,1.0,C3,0.07398276908916196,0.06613323256122441,0.20920208324100156
21002,1.0,C4,0.06865140091435697,0.06735736654998473,0.16040863812826753
21002,1.0,C5,0.05596710669087376,0.05499496502560976,0.14237401379444803
21002,1.0,C6,0.04484001079673622,0.038771707439643796,0.13670857365130115
21002,1.0,C7,0.04121285995564574,0.028079736889048728,0.15198466687292364
21003,0.0,C1,0.0,0.0,0.0
21003,0.0,C2,0.0,0.0,0.0
21003,0.0,C3,0.0,0.0,0.0
21003,0.0,C4,0.0,0.0,0.0
21003,0.0,C5,0.0,0.0,0.0
