seed,rotation,criterion,alternative,class,theta,semantic_ceiling,contrast,min_derivative,max_abs_departure,lower_bound_ok,semantic_ceiling_ok,monotonicity_ok,structural_zero_ok
25001,1,C5,A6,D,0.3261235117302034,0.4,-1.0,0.2761235117302034,0.0125,True,True,True,True
25001,1,C6,A1,I,0.15197667176943364,0.2,-0.6,0.12197667176943364,0.0075,True,True,True,True
25001,1,C6,A2,I,0.18972271884228364,0.2,-0.2,0.17972271884228364,0.0025000000000000005,True,True,True,True
25001,1,C6,A3,I,0.19783716118833994,0.2,0.2,0.18783716118833993,0.0025000000000000005,True,True,True,True
25001,1,C6,A4,I,0.17073199819509097,0.2,0.6,0.14073199819509097,0.0075,True,True,True,True
25001,1,C6,A5,I,0.0501759566033282,0.2,1.0,0.00017595660332819785,0.0125,True,True,True,True
25001,1,C6,A6,I,0.14280384196839946,0.2,-1.0,0.09280384196839946,0.0125,True,True,True,True
25001,1,C7,A1,I,0.1214870142435376,0.2,-0.6,0.0914870142435376,0.0075,True,True,True,True
25001,1,C7,A2,D,0.2905913551379999,0.4,-0.2,0.2805913551379999,0.0025000000000000005,True,True,True,True
25001,1,C7,A3,I,0.19140126786996758,0.2,0.2,0.18140126786996758,0.0025000000000000005,True,True,True,True
25001,1,C7,A4,D,0.20916995836240382,0.4,0.6,0.17916995836240382,0.0075,True,True,True,True
25001,1,C7,A5,I,0.14375007677516513,0.2,1.0,0.09375007677516513,0.0125,True,True,True,True
25001,1,C7,A6,I,0.19382627499108324,0.2,-1.0,0.14382627499108325,0.0125,True,True,True,True
25001,2,C1,A1,D,0.21262906812746674,0.4,-0.2,0.20262906812746673,0.0025000000000000005,True,True,True,True
25001,2,C1,A2,I,0.12820435277030956,0.2,0.2,0.11820435277030955,0.0025000000000000005,True,True,True,True
25001,2,C1,A3,I,0.1616129446274917,0.2,0.6,0.1316129446274917,0.0075,True,True,True,True
25001,2,C1,A4,I,0.10088820811616948,0.2,1.0,0.05088820811616948,0.0125,True,True,True,True
