seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
25001,1,h_T,C7,6,0.03652770502244093,0.4617802235586946,0.07910192589123795
25001,2,h_D,C1,6,0.04581541085754606,0.6472669262974068,0.07078287024331517
25001,2,h_D,C2,6,0.032030634858461735,0.28355601708429423,0.11296051900974563
25001,2,h_D,C3,5,0.035108119719989846,0.42133852453741055,0.08332520687044667
25001,2,h_D,C4,6,0.027299580599267324,0.2637899812200375,0.10348983108737511
25001,2,h_D,C6,6,0.026387639134547107,0.32854850371159755,0.08031580980013177
25001,2,h_D,C7,6,0.023314078994223077,0.28019201725273335,0.08320750613288733
25001,2,h_E,C6,6,0.01766541514738206,0.2199494120911314,0.08031580980013177
25001,2,h_I,C2,6,0.01994527848197407,0.17656858039114293,0.11296051900974563
25001,2,h_I,C4,6,0.025279897377411313,0.24427421623505743,0.10348983108737511
25001,2,h_I,C5,5,0.06124514928124654,0.4492201513778168,0.13633660265006023
25001,2,h_T,C3,5,0.02447400040876533,0.29371664743087383,0.08332520687044667
25001,2,h_T,C7,6,0.03675962755574147,0.44178258986145286,0.08320750613288733
25001,3,h_D,C1,6,0.045662658053637444,0.5903834047611496,0.077344074519711
25001,3,h_D,C2,6,0.03204936293930877,0.2558699938959472,0.125256433750048
25001,3,h_D,C3,5,0.03522451728871702,0.4053143997420267,0.0869066515049337
25001,3,h_D,C4,6,0.027116701195738044,0.24869796951570833,0.10903467064203994
25001,3,h_D,C6,6,0.02602282626326756,0.33060217410186277,0.07871341540215943
25001,3,h_D,C7,6,0.023302202334295953,0.2927078195339234,0.07960908721573334
25001,3,h_E,C6,6,0.017278360241217365,0.21950972591800202,0.07871341540215943
25001,3,h_I,C2,6,0.01985167101103665,0.15848823422909047,0.125256433750048
25001,3,h_I,C4,6,0.025487494223962306,0.23375586933631246,0.10903467064203994
25001,3,h_I,C5,5,0.06079253061439491,0.45805464114221184,0.13271894912437454
25001,3,h_T,C3,5,0.02443725301948789,0.2811896741622751,0.0869066515049337
25001,3,h_T,C7,6,0.03657162520884547,0.45939008331147324,0.07960908721573334
25001,4,h_D,C1,6,0.04522280841550016,0.6137728413905214,0.07368004148315313
25001,4,h_D,C2,6,0.03206907459899898,0.2661529895495345,0.12049113050734438
25001,4,h_D,C3,5,0.03549192275867659,0.422025591300922,0.08409898235992833
25001,4,h_D,C4,6,0.02723744942705191,0.26549808318480667,0.1025900040409222
25001,4,h_D,C6,6,0.02596245471693206,0.34254996273326443,0.07579173125412324
25001,4,h_D,C7,6,0.023392269569843017,0.305116611372692,0.07666665365841012
25001,4,h_E,C6,6,0.01729146587166295,0.22814448997685496,0.07579173125412324
25001,4,h_I,C2,6,0.019747592689938278,0.16389250068967273,0.12049113050734438
25001,4,h_I,C4,6,0.025355421459144097,0.24715294336846796,0.1025900040409222
25001,4,h_I,C5,5,0.06055724766893199,0.47442804708177505,0.12764263841682102
25001,4,h_T,C3,5,0.024526674364037562,0.29164056062862,0.08409898235992833
25001,4,h_T,C7,6,0.036702073405949526,0.4787227778193849,0.07666665365841012
25001,5,h_D,C1,6,0.04531127280907564,0.6151713426329005,0.07365634526233071
25001,5,h_D,C2,6,0.03179547737788618,0.27529080141702045,0.11549778348549306
25001,5,h_D,C3,5,0.035362868351495755,0.4538021558295937,0.07792573899609456
25001,5,h_D,C4,6,0.027508789554437585,0.246138486335915,0.1117614313945569
25001,5,h_D,C6,6,0.026158131888276023,0.35521615223127634,0.07364004064457522
25001,5,h_D,C7,6,0.02334879461441834,0.31520937217008727,0.07407392252760842
