seed,tau,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
27003,0.1,C6,6,0.0012172862658524908,0.029898980187344004,0.13102279402183817,0.04537262577656802,True,True,True
27003,0.1,C7,6,0.0031423588719475815,0.14423499853141694,0.3642940468154923,0.07013368645372427,True,True,True
27003,0.2,C1,6,0.00401749054753997,0.0965576030403747,0.39373393212301094,0.09198627520208971,True,True,True
27003,0.2,C2,6,0.0030720415774374565,0.10097029690742271,0.2222656097883007,0.07084719665593191,True,True,True
27003,0.2,C3,5,0.001275828481278829,0.053428790498935355,0.10397935007875819,0.04671857862205309,True,True,True
27003,0.2,C4,6,0.0019952387233298507,0.0664671301309978,0.17173164889568066,0.057871864961558,True,True,True
27003,0.2,C5,5,0.0001685307249380541,0.02859276292850297,0.07448992679698346,0.019845520283300427,True,True,True
27003,0.2,C6,6,0.001367372106075515,0.031843921362478586,0.13880104060047196,0.048636364546493324,True,True,True
27003,0.2,C7,6,0.003386800288272318,0.14748466224162304,0.3748514849106447,0.07174368995089926,True,True,True
27003,0.3,C1,6,0.00437495913903263,0.0985382502693601,0.40412405230054427,0.09484453260814694,True,True,True
27003,0.3,C2,6,0.0033607221533543674,0.10787993094794247,0.23052188895990522,0.07385007347627774,True,True,True
27003,0.3,C3,5,0.0013971135325363537,0.05748648132892023,0.10849099545951887,0.04875482056043314,True,True,True
27003,0.3,C4,6,0.0021526063602941292,0.07006162240716708,0.1764160199545772,0.05904142472371909,True,True,True
27003,0.3,C5,5,0.0001850602782615951,0.02985759636450474,0.0783534717320615,0.020878519640392976,True,True,True
27003,0.3,C6,6,0.0015259753458001235,0.03377892197830697,0.14640001459431554,0.05185963480438206,True,True,True
27003,0.3,C7,6,0.003638741361129072,0.1507672566743184,0.3855405978818473,0.07335367570000145,True,True,True
27003,0.4,C1,6,0.00474763555514357,0.10053782450291107,0.4145870139198117,0.09767919716087742,True,True,True
27003,0.4,C2,6,0.003662500559500348,0.11464501617028175,0.23864914655973396,0.07684690969520505,True,True,True
27003,0.4,C3,5,0.0015235591797554404,0.06150331066652886,0.11294730647734938,0.05076482195447871,True,True,True
27003,0.4,C4,6,0.0023174061232515974,0.0736191718246305,0.1811155978665559,0.06023142431367508,True,True,True
27003,0.4,C5,5,0.00020246023843328853,0.0311165825240749,0.08217891786511822,0.021927688533599218,True,True,True
27003,0.4,C6,6,0.0016929356807259266,0.03570370935386077,0.1538261784806781,0.055038974276211516,True,True,True
27003,0.4,C7,6,0.0038978290276435734,0.15408349110155314,0.39638478578821373,0.07495942744155139,True,True,True
27003,0.5,C1,6,0.005135343806375259,0.102555953383942,0.4251415084401892,0.1004860904186829,True,True,True
27003,0.5,C2,6,0.003977136210302601,0.11659505613215548,0.24665592731221458,0.07982998828265533,True,True,True
27003,0.5,C3,5,0.0016550947311382291,0.06547791943794044,0.11734995215303337,0.05274802087550706,True,True,True
27003,0.5,C4,6,0.002489723202841909,0.07714024315874825,0.18583229536669774,0.06144054905601934,True,True,True
27003,0.5,C5,5,0.00022073141883005576,0.03236920183668857,0.08596681365311071,0.02299034694325935,True,True,True
27003,0.5,C6,6,0.001868092534359156,0.037618100760144185,0.16108602373777067,0.058172011770535895,True,True,True
27003,0.5,C7,6,0.004163712469838821,0.15743416987810727,0.40740911393088103,0.07655743776743026,True,True,True
27003,0.6,C1,6,0.0055379003024349505,0.1066362399981599,0.4358071714214981,0.10326189843422239,True,True,True
27003,0.6,C2,6,0.004304383360690167,0.11898741692941116,0.2545503228308199,0.08279309823742165,True,True,True
27003,0.6,C3,5,0.0017916486457514313,0.06940958648544727,0.1217005430349704,0.05470405143612654,True,True,True
27003,0.6,C4,6,0.0026696413028654,0.08062536114201761,0.19056812010373161,0.0626675667271942,True,True,True
27003,0.6,C5,5,0.00023987461965524481,0.03361512743160101,0.08971774649789983,0.024064260058317147,True,True,True
27003,0.6,C6,6,0.0020512851167351354,0.039521979862903685,0.16818594253902766,0.06125715976894584,True,True,True
27003,0.6,C7,6,0.004436043427327729,0.16082018953958852,0.4186405975977849,0.07814480391794912,True,True,True
27003,0.7,C1,6,0.005955113944911439,0.11198541406463361,0.44660475473507455,0.10600402169593642,True,True,True
