tau,criterion,median_LRV50,T_sci_LRV,pass_sci_LRV,median_NSV_vector,T_sci_NSV_vector,pass_sci_NSV,all_seed_num_NS,all_seed_num_LRV,all_seed_num_NSV
0.5,C5,0.09142977291549645,0.06114512257795974,True,0.06663470769909331,0.03893229936662514,True,True,True,True
0.5,C6,0.09712666527480306,0.10669498984969662,False,0.07772940259627611,0.06203584559273667,True,True,True,True
0.5,C7,0.05365973311032757,0.06752862595487336,False,0.05159749509735246,0.0421069255807601,True,True,True,True
0.6,C1,0.1066362399981599,0.0823367060180439,True,0.08685727255447463,0.04150944500477258,True,True,True,True
0.6,C2,0.06669220463986313,0.05135703082499147,True,0.04334818823300788,0.030180789560001246,True,True,True,True
0.6,C3,0.09478083319253888,0.06320131683925327,True,0.058197985836967,0.032871176397166704,True,True,True,True
0.6,C4,0.08000991380145403,0.0584394716346404,True,0.0626675667271942,0.033274732045588784,True,True,True,True
0.6,C5,0.09294929156075313,0.06114512257795974,True,0.06974349147496106,0.03893229936662514,True,True,True,True
0.6,C6,0.0978646343292155,0.10669498984969662,False,0.08061938084529949,0.06203584559273667,True,True,True,True
0.6,C7,0.056850901478075956,0.06752862595487336,False,0.05222719989501419,0.0421069255807601,True,True,True,True
0.7,C1,0.11198541406463361,0.0823367060180439,True,0.08888067187454772,0.04150944500477258,True,True,True,True
0.7,C2,0.07002081699859604,0.05135703082499147,True,0.044923996752873105,0.030180789560001246,True,True,True,True
0.7,C3,0.09719355326304965,0.06320131683925327,True,0.06008699545513986,0.032871176397166704,True,True,True,True
0.7,C4,0.083032480877154,0.0584394716346404,True,0.06391132317611155,0.033274732045588784,True,True,True,True
0.7,C5,0.09449172825643863,0.06114512257795974,True,0.07280800911929783,0.03893229936662514,True,True,True,True
0.7,C6,0.09867726948716701,0.10669498984969662,False,0.08348072741370773,0.06203584559273667,True,True,True,True
0.7,C7,0.06000538554547916,0.06752862595487336,False,0.052863247913709006,0.0421069255807601,True,True,True,True
0.8,C1,0.1172208629705127,0.0823367060180439,True,0.09086397408445904,0.04150944500477258,True,True,True,True
0.8,C2,0.07331682234312595,0.05135703082499147,True,0.046483026549339355,0.030180789560001246,True,True,True,True
0.8,C3,0.09961617880320554,0.06320131683925327,True,0.061990412142620445,0.032871176397166704,True,True,True,True
0.8,C4,0.08602582389688478,0.0584394716346404,True,0.06517073788834801,0.033274732045588784,True,True,True,True
0.8,C5,0.09703986251486814,0.06114512257795974,True,0.07582615176720385,0.03893229936662514,True,True,True,True
0.8,C6,0.09956600120004384,0.10669498984969662,False,0.08498709095438935,0.06203584559273667,True,True,True,True
0.8,C7,0.063123154258273,0.06752862595487336,False,0.05401118966398496,0.0421069255807601,True,True,True,True
0.9,C1,0.12234571452354387,0.0823367060180439,True,0.09280645092755087,0.04150944500477258,True,True,True,True
0.9,C2,0.07658050785827099,0.05135703082499147,True,0.0480245515194954,0.030180789560001246,True,True,True,True
0.9,C3,0.10204961754228778,0.06320131683925327,True,0.06390532542726714,0.032871176397166704,True,True,True,True
0.9,C4,0.08899053151522023,0.0584394716346404,True,0.06644479957215298,0.033274732045588784,True,True,True,True
0.9,C5,0.09967332528205416,0.06114512257795974,True,0.07879648024757728,0.03893229936662514,True,True,True,True
0.9,C6,0.10053218671432183,0.10669498984969662,False,0.08610954807045171,0.06203584559273667,True,True,True,True
0.9,C7,0.06482800222384677,0.06752862595487336,False,0.056318164545128925,0.0421069255807601,True,True,True,True
1.0,C1,0.12736316431304345,0.0823367060180439,True,0.09470778322894105,0.04150944500477258,True,True,True,True
1.0,C2,0.07981222217123511,0.05135703082499147,True,0.04954802270160527,0.030180789560001246,True,True,True,True
1.0,C3,0.10449473615814459,0.06320131683925327,True,0.06582916871983364,0.032871176397166704,True,True,True,True
1.0,C4,0.09192717968328347,0.0584394716346404,True,0.06795874047772699,0.033274732045588784,True,True,True,True
1.0,C5,0.10229568805793807,0.06114512257795974,True,0.08171807310137824,0.03893229936662514,True,True,True,True
1.0,C6,0.10157711104992864,0.10669498984969662,False,0.08725892731429266,0.06203584559273667,True,True,True,True
1.0,C7,0.06555178907581309,0.06752862595487336,False,0.058600744792304905,0.0421069255807601,True,True,True,True
