seed,tau,criterion,min_active_g,max_active_g,min_headroom,max_headroom,min_shape,max_shape,min_shape_derivative,min_total_derivative_margin_vs_theta,max_class_ceiling_excess,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,shape_bounds_ok,monotonicity_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
27001,0.8,C1,1.6360273962316994e-05,0.39994040320976887,0.009215530710115383,0.1757477326905216,1.7572282802465949e-09,0.9999999858607218,3.750782102151328e-05,1.7916049286914593e-06,-4.890903182536155e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.8,C2,0.0010172663157846328,0.39906242712910756,0.02481476659829218,0.13893364927609983,6.898085723331966e-06,0.9999984403760829,0.0011293614896001514,5.444465423581901e-05,-0.00047830181206939826,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.8,C3,0.0006686739852914459,0.39935041314981956,0.05619909929983308,0.16049805052868193,4.368706799382965e-06,0.9999994691198842,0.0006559162963193944,3.850148232298345e-05,-0.00022949970811295128,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.8,C4,0.00040178227292628243,0.3989351933434674,0.008845066952482217,0.1522687383896801,7.242848777387589e-06,0.9999983205433179,0.0011724242595210716,9.379231053453785e-05,-0.0003458884810709495,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.8,C5,9.096384140572322e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,2.9612530183894927e-08,0.999999479225588,0.00015415222160222573,5.1699964930262965e-06,-9.003766322951412e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.8,C6,0.0011389401360706094,0.19886269251048502,0.017556349605209243,0.14132920413903466,1.5237483683048886e-05,0.9999836758809408,0.0036097673793999653,0.00014509753946800874,-0.0011373074895149882,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.8,C7,0.0007496917769158379,0.39954109288091016,0.018229279478251537,0.161171277303511,3.809298123492219e-06,0.9999996830949154,0.0005060358860846981,4.258113207337988e-05,-0.00014549584643880342,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.9,C1,1.6360251630354377e-05,0.3999404044505927,0.009215530710115383,0.1757477326905216,8.790256906182987e-10,0.9999999929209772,1.876708478425255e-05,8.964317489423834e-07,-4.890891916439766e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.9,C2,0.0010171831567239128,0.39906247514417703,0.02481476659829218,0.13893364927609983,3.546893182767792e-06,0.9999992094788128,0.0005762494134360774,2.7780033547308847e-05,-0.000478280441219614,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.9,C3,0.0006685551639074432,0.39935041314981956,0.05619909929983308,0.16049805052868193,2.234012337989388e-06,0.9999997324185229,0.00033191405199651657,1.948294786605076e-05,-0.00022948425280572282,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.9,C4,0.0004013159968340821,0.39893521855213065,0.008845066952482217,0.1522687383896801,3.7266139923753973e-06,0.9999991483121518,0.0005986645407885807,4.7892330834742314e-05,-0.0003458222607152228,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.9,C5,9.174507073982209e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,1.4834685947972293e-08,0.9999997375320361,7.729786372721977e-05,2.5924354526418725e-06,-9.000044902507387e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.9,C6,0.001138447833231684,0.19886325522467596,0.017556349605209243,0.14132920413903466,7.934828594144633e-06,0.9999914880464065,0.001915371776291407,7.69899283517006e-05,-0.00113674477532405,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.9,C7,0.0007496418881285229,0.3995410983179659,0.018229279478251537,0.161171277303511,1.9451545534121224e-06,0.9999998405576402,0.00025538285336613477,2.148956488559617e-05,-0.0001454825965068185,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,1.0,C1,1.6360229298391756e-05,0.3999404056914166,0.009215530710115383,0.1757477326905216,8.231009900026762e-13,0.9999999999812326,2.6348546991818897e-08,1.258569137796428e-09,-4.8908806503433766e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,1.0,C2,0.0010170999976631926,0.3990625231592465,0.02481476659829218,0.13893364927609983,1.9570064220361884e-07,0.9999999785815429,2.3137337272003368e-05,1.1154128587986811e-06,-0.00047825907036982973,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,1.0,C3,0.0006684363425234404,0.39935041314981956,0.05619909929983308,0.16049805052868193,9.931787659581171e-08,0.9999999957171615,7.911807673638788e-06,4.644134091458252e-07,-0.00022946879749849436,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,1.0,C4,0.00040084972074188176,0.3989352437607938,0.008845066952482217,0.1522687383896801,2.1037920736320544e-07,0.9999999760809855,2.4904822056090033e-05,1.9923511349467793e-06,-0.0003457560403595239,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,1.0,C5,9.252630007392097e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,5.684171204965974e-11,0.9999999958384842,4.435058522138281e-07,1.4874412312959606e-08,-8.996323482063362e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,1.0,C6,0.0011379555303927587,0.19886381793886693,0.017556349605209243,0.14132920413903466,6.3217350524038e-07,0.9999993002118722,0.00022097617318284876,8.882317235420212e-06,-0.0011361820611330842,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,1.0,C7,0.0007495919993412078,0.3995411037550217,0.018229279478251537,0.161171277303511,8.101098333202608e-08,0.999999998020365,4.729820647571439e-06,3.9799769782633554e-07,-0.0001454693465748058,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.0,C1,0.0001779954355918095,0.39935996158257014,0.0013157430963451344,0.1774863996352271,2.3585002616230227e-06,0.9999969177912681,0.003071481897471006,4.6198951463294335e-06,-0.0003026393889546952,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27002,0.0,C2,0.0010827594216804388,0.3980367302586151,0.009403452646264632,0.11631062998645819,2.724654369644516e-05,0.9999732465973066,0.010344738313447621,0.0004868303743864877,-0.0007923176773580454,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27002,0.0,C3,0.00021672250697703734,0.39632930509520303,0.007447824209365739,0.1485336340250783,1.731380392128896e-05,0.9999157874932244,0.00832197186279525,0.0012360927230354313,-0.0008059944858984092,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27002,0.0,C4,0.0007450490437073184,0.39833337232284916,0.032261794549892864,0.1960703004924313,3.307946196672308e-05,0.9999774801044924,0.009491026395004099,0.0004653635927711064,-0.0008078349809347574,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.0,C5,6.715655848320759e-05,0.39952426213646314,0.0058622017840600504,0.12616426457221142,1.489930293119838e-07,0.9999969865722852,0.0007719923038786949,4.52557466107395e-06,-0.00030802571161800407,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27002,0.0,C6,0.0010539591869698944,0.1993643708848157,0.026044182014041184,0.13180836387786804,0.00022559406855329536,0.9999774244077453,0.009502755864422285,0.0006322972256001813,-0.0006356291151843052,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.0,C7,0.00030710516620312,0.39705740684486107,0.0458448329328901,0.11212954406270559,1.2107106397184169e-05,0.9999292228536901,0.0069590534980510585,0.0007713774062459988,-0.0015622761793178674,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.1,C1,0.0001779756010744897,0.3993599725043645,0.0013157430963451344,0.1774863996352271,2.1230124400036584e-06,0.9999972254710219,0.0027650412578023925,4.1591222501580205e-06,-0.0003026308768180608,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27002,0.1,C2,0.001086618669754473,0.39803678491913713,0.009403452646264632,0.11631062998645819,2.4536111538139717e-05,0.9999759080997285,0.009318290502910888,0.00043852504690980454,-0.0007921924252558277,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27002,0.1,C3,0.00021646640882886641,0.39632930509520303,0.007447824209365739,0.1485336340250783,1.558962777861361e-05,0.9999241314642972,0.007494968817692111,0.0011132549553964505,-0.0008050498757260494,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27002,0.1,C4,0.0007448159675453039,0.3983334822183058,0.032261794549892864,0.1960703004924313,2.9790541339123272e-05,0.999979721407197,0.008548679724155989,0.00041915849185464316,-0.0008077679421809314,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.1,C5,6.715617083993655e-05,0.39952430008915474,0.0058622017840600504,0.12616426457221142,1.3409947745438344e-07,0.9999972873919489,0.000694837771399619,4.073279223137938e-06,-0.00030801891394705017,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27002,0.1,C6,0.0010510303300834986,0.1993645203852457,0.026044182014041184,0.13180836387786804,0.0002033734992341165,0.9999796712404536,0.008559252955656467,0.0005695181455027953,-0.0006354796147542974,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.1,C7,0.0003069698821392331,0.3970577623519727,0.0458448329328901,0.11212954406270559,1.090060845752198e-05,0.9999362410241064,0.006266780280165108,0.0006952130955558133,-0.0015621749661317297,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27002,0.2,C1,0.00017795576655716983,0.39935998342615886,0.0013157430963451344,0.1774863996352271,1.8875246183842938e-06,0.9999975331507759,0.0024586006181337786,3.698349353958852e-06,-0.00030262236468142634,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27002,0.2,C2,0.001090477917828507,0.3980368395796592,0.009403452646264632,0.11631062998645819,2.1825679379834272e-05,0.9999785696021503,0.008291842692374153,0.00039021971943309364,-0.0007920671731536377,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27002,0.2,C3,0.00021621031068069552,0.39632930509520303,0.007447824209365739,0.1485336340250783,1.386545163593826e-05,0.9999324754353698,0.006667965772588973,0.0009904171877574766,-0.0008041052655536896,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27002,0.2,C4,0.0007445828913832895,0.39833359211376235,0.032261794549892864,0.1960703004924313,2.650162071152346e-05,0.9999819627099018,0.007606333053307879,0.00037295339093823543,-0.0008077009034271332,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
