seed,tau,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
27002,1.0,A4,874,0.874,126,0.011672984544481221,0.0,0.08845748722361454,0.09264273448000969,0.06791625102062683,0.24944082656577676
27003,0.0,A4,696,0.696,304,0.02987234030409159,0.0,0.16603683147684467,0.09826427731609078,0.09418327345514321,0.20547695577653882
27003,0.1,A4,703,0.703,297,0.02858928072974674,0.0,0.16309946427324873,0.09626020447726175,0.09075387316701874,0.2037330044808126
27003,0.2,A4,713,0.713,287,0.027358054837713922,0.0,0.16198229600158678,0.09532423288402064,0.08822418177747113,0.20249608623494808
27003,0.3,A4,722,0.722,278,0.026171865390336675,0.0,0.1599575256417182,0.09414340068466429,0.08638756732146662,0.19798775524815507
27003,0.4,A4,732,0.732,268,0.02504120885044933,0.0,0.15455708145597166,0.09343734645690047,0.08282417227332059,0.1973385368483838
27003,0.5,A4,739,0.739,261,0.02396554926727068,0.0,0.15217650164005486,0.09182202784394897,0.08079089222790178,0.19650483598612706
27003,0.6,A4,743,0.743,257,0.022910467603420897,0.0,0.14866730898176536,0.08914578834015913,0.07509581171150091,0.19468196633727972
27003,0.7,A4,754,0.754,246,0.021895221950459728,0.0,0.144342563137568,0.08900496727829157,0.07552711967734624,0.19412991145667172
27003,0.8,A4,761,0.761,239,0.020933018665827228,0.0,0.1413906158746175,0.08758585215827291,0.07317103972606855,0.19266099576586965
27003,0.9,A4,768,0.768,232,0.019999349402136428,0.0,0.13801857456694486,0.08620409225058805,0.070444159850932,0.19278713463298636
27003,1.0,A4,775,0.775,225,0.0191029536353203,0.0,0.13423362224084806,0.0849020161569791,0.07072717507920578,0.19097372559985554
27004,0.0,A4,642,0.642,358,0.018884341261671187,0.0,0.09152322599907123,0.05274955659684691,0.046365521813011054,0.12644579483350327
27004,0.1,A4,642,0.642,358,0.018843819435699575,0.0,0.0920393793551464,0.05263636713882562,0.04669940896014485,0.12781882561314203
27004,0.2,A4,645,0.645,355,0.018839643357110865,0.0,0.09274139623915253,0.05306941790735455,0.045294926214965045,0.12825874053997055
27004,0.3,A4,645,0.645,355,0.018874875018357364,0.0,0.0940863256199757,0.05316866202354186,0.044702471664900226,0.1279321248786467
27004,0.4,A4,651,0.651,349,0.018975594301865486,0.0,0.09527994357127828,0.05437133037783806,0.046859150507137376,0.1284849393205491
27004,0.5,A4,650,0.65,350,0.019136393327074463,0.0,0.09737628891740362,0.054675409505927045,0.047802988025201,0.12862293672421693
27004,0.6,A4,647,0.647,353,0.019354511056105167,0.0,0.09939543094094358,0.05482864321842824,0.0478300679057273,0.12882387602653395
27004,0.7,A4,649,0.649,351,0.019624597702949144,0.0,0.10011445633079036,0.05591053476623686,0.04815613971321086,0.1291884621006924
27004,0.8,A4,650,0.65,350,0.01994724740074202,0.0,0.10215547606105906,0.05699213543069149,0.04959481195178106,0.1297079230212551
27004,0.9,A4,647,0.647,353,0.020310121262216915,0.0,0.10382189726716003,0.05753575428390059,0.050863022561631714,0.13071379373229275
27004,1.0,A4,644,0.644,356,0.02071536452682842,0.0,0.10533732146304915,0.058189226198956244,0.051646467825675946,0.1318348688611788
27005,0.0,A6,555,0.555,445,0.04733236902295451,0.0,0.22880835569869235,0.10636487420888653,0.0831270405807359,0.2657390111453358
27005,0.1,A6,560,0.56,440,0.04550941644295071,0.0,0.22583346891833855,0.10343049191579706,0.07948823163204621,0.26358727256802494
27005,0.2,A6,569,0.569,431,0.04371419628100925,0.0,0.22052619421733496,0.10142504937589157,0.07719728350370089,0.2627582381426813
27005,0.3,A6,585,0.585,415,0.041991371689757646,0.0,0.21569803350611289,0.1011840281680907,0.07772259090284704,0.26107415686182506
27005,0.4,A6,595,0.595,405,0.0403388139907943,0.0,0.21431251098224963,0.09960200985381308,0.07590156571081456,0.2596816193750203
27005,0.5,A6,613,0.613,387,0.038750122850170564,0.0,0.21054237599787323,0.10012951640870947,0.0754309366576043,0.25814288855167794
27005,0.6,A6,624,0.624,376,0.03724172565011348,0.0,0.20679051853893884,0.09904714268647202,0.07359534494086098,0.25549102337359963
27005,0.7,A6,634,0.634,366,0.03578741709526731,0.0,0.20292561440201606,0.09777982812914567,0.0724003172945428,0.25308375712566233
27005,0.8,A6,647,0.647,353,0.0343890013944318,0.0,0.19917592850060015,0.09741926740632238,0.07167062046961589,0.2515590128047526
27005,0.9,A6,655,0.655,345,0.03304562988870795,0.0,0.19629329066240686,0.09578443446002306,0.06826577853716341,0.24906503554323753
27005,1.0,A6,669,0.669,331,0.0317562218575572,0.0,0.19136162181491215,0.09594024730379819,0.0735183975993758,0.2489223949231376
