seed,tau,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
27003,0.7,C5,0.032773796805760556,0.01790839547732887,0.19253284618222094
27003,0.7,C6,0.024010504101292372,0.017647813414550163,0.09551838637753178
27003,0.7,C7,0.05325723852276252,0.04994593826455612,0.1469111479144639
27003,0.8,C1,0.04534756909729196,0.029742781452157578,0.15511000095185612
27003,0.8,C2,0.03833619159664549,0.010126592209169224,0.18151386561165803
27003,0.8,C3,0.04126527411602486,0.039087676426728266,0.10375185727103552
27003,0.8,C4,0.048843183152417355,0.03554339240108241,0.16089036389991287
27003,0.8,C5,0.03278172551912936,0.017981432547453397,0.19253284618222094
27003,0.8,C6,0.02414973132481825,0.017660595521236173,0.0955191164605577
27003,0.8,C7,0.05326299216003299,0.049492105744039325,0.146913287573174
27003,0.9,C1,0.045229977685510944,0.02952109769248462,0.15510606214536132
27003,0.9,C2,0.03837241780548038,0.009832246668609795,0.18151420804228255
27003,0.9,C3,0.04131938304109374,0.039145333757416675,0.10375185727103552
27003,0.9,C4,0.048565448575871493,0.03556905286359837,0.16080986230600772
27003,0.9,C5,0.03278965423249817,0.01798197369404181,0.19253284618222094
27003,0.9,C6,0.024288958548344123,0.017663964020020902,0.0955198465435836
27003,0.9,C7,0.05326874579730346,0.04937548487237635,0.14691542723188417
27003,1.0,C1,0.04511238627372992,0.029064267234799518,0.15510212333886658
27003,1.0,C2,0.038408644014315284,0.00953458658559063,0.18151455047290718
27003,1.0,C3,0.041373491966162614,0.03907244204007884,0.10375185727103552
27003,1.0,C4,0.048287713999325604,0.035556679369985106,0.16072936071210256
27003,1.0,C5,0.032797582945866974,0.018035146597046595,0.19253284618222094
27003,1.0,C6,0.024428185771869997,0.017680911618761133,0.0955205766266095
27003,1.0,C7,0.053274499434573935,0.04931377366819949,0.14691756689059432
27004,0.0,C1,0.05574341401982668,0.028518315371294463,0.18554554207210394
27004,0.0,C2,0.04544698482770312,0.03255551564769391,0.13800780757285447
27004,0.0,C3,0.03871342104144997,0.03196747482959689,0.14018439515729775
27004,0.0,C4,0.023477203650870932,0.022631624746886812,0.06248476765872002
27004,0.0,C5,0.034435814285879246,0.021334762097197237,0.14726928433533243
27004,0.0,C6,0.030772383026634997,0.025943192915813713,0.14725939809375416
27004,0.0,C7,0.0183624114669686,0.01403307544433794,0.09754836758326485
27004,0.1,C1,0.05592496950654481,0.028400125250052435,0.1855455584148608
27004,0.1,C2,0.0456169056695468,0.03234028673466309,0.1380080714202605
27004,0.1,C3,0.038617197140218565,0.03176197167579159,0.1400088905067832
27004,0.1,C4,0.02349504045796191,0.022708776895453753,0.06248518518583768
27004,0.1,C5,0.03459326114879133,0.021283739789509412,0.14726928465332811
27004,0.1,C6,0.03062110245201393,0.02594308491609547,0.1471885923394905
27004,0.1,C7,0.01826842742645354,0.013940910621621443,0.09738617436065289
27004,0.2,C1,0.056106524993262935,0.02813806217061139,0.18554557475761768
27004,0.2,C2,0.045786826511390474,0.03236628744695368,0.13800833526766654
27004,0.2,C3,0.038520973238987156,0.0315581154403637,0.13983338585626867
27004,0.2,C4,0.023512877265052898,0.022654459891574275,0.062485602712955335
27004,0.2,C5,0.03475070801170341,0.02134148912506193,0.14726928497132374
27004,0.2,C6,0.03046982187739286,0.02595305568363633,0.14711778658522687
27004,0.2,C7,0.018174443385938474,0.01383812773407032,0.09722398113804098
27004,0.3,C1,0.05628808047998105,0.027930572677256044,0.1855455911003745
27004,0.3,C2,0.04595674735323414,0.03222431082013551,0.13800859911507246
27004,0.3,C3,0.03842474933775573,0.03129960410101012,0.1396578812057541
27004,0.3,C4,0.023530714072143875,0.022641630288535282,0.06248602024007299
27004,0.3,C5,0.03490815487461548,0.021302618438299413,0.14726928528931943
27004,0.3,C6,0.03031854130277179,0.02601752708010029,0.14704698083096318
27004,0.3,C7,0.018080459345423412,0.013710540045966606,0.09706178791542902
27004,0.4,C1,0.05646963596669918,0.027798324154869658,0.1855456074431313
27004,0.4,C2,0.04612666819507782,0.03191867855196927,0.1380088629624785
27004,0.4,C3,0.03832852543652432,0.03099281842420177,0.13948237655523957
27004,0.4,C4,0.023548550879234863,0.022608603531680836,0.06248643776719065
27004,0.4,C5,0.03506560173752756,0.021203450236053717,0.14726928560731506
27004,0.4,C6,0.03016726072815072,0.026046677478601687,0.14697617507669955
27004,0.4,C7,0.017986475304908347,0.01355630257998535,0.09689959469281706
27004,0.5,C1,0.0566511914534173,0.027740868285075746,0.18554562378588813
27004,0.5,C2,0.0462965890369215,0.031845626088814,0.13800912680988453
27004,0.5,C3,0.038232301535292904,0.03060106731168498,0.13930687190472502
27004,0.5,C4,0.023566387686325845,0.022652418215125744,0.06248685529430831
27004,0.5,C5,0.03522304860043964,0.021228474849283814,0.1472692859253107
27004,0.5,C6,0.03001598015352966,0.026012856426006606,0.14690536932243592
27004,0.5,C7,0.017892491264393285,0.013390509102690497,0.09673740147020515
27004,0.6,C1,0.05683274694013543,0.027498370083060223,0.185545640128645
27004,0.6,C2,0.04646650987876518,0.03162865735964042,0.13800939065729056
27004,0.6,C3,0.03813607763406149,0.030276774940060647,0.1391313672542105
27004,0.6,C4,0.023584224493416826,0.02268993769117411,0.062487272821425965
