seed,tau,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
27001,0.2,h_D,C4,h_D->C4,6,0.044543779293027566,0.1257828330185723,0.35413242191878747
27001,0.2,h_D,C6,h_D->C6,6,0.040046735070425506,0.0763520332209911,0.5245012264963645
27001,0.2,h_D,C7,h_D->C7,6,0.0320547878225081,0.10311431326040318,0.3108665209382387
27001,0.2,h_E,C6,h_E->C6,6,0.02466357891440692,0.0763520332209911,0.3230245204171361
27001,0.2,h_I,C2,h_I->C2,6,0.04063843031622527,0.1461237082024363,0.27810976614176564
27001,0.2,h_I,C4,h_I->C4,6,0.04472442285502906,0.1257828330185723,0.3555685762624679
27001,0.2,h_I,C5,h_I->C5,5,0.09704135018588123,0.14563297836079012,0.6663418634809852
27001,0.2,h_T,C3,h_T->C3,5,0.03405133901522106,0.10565976968691104,0.32227345484283226
27001,0.2,h_T,C7,h_T->C7,6,0.04916723083335947,0.10311431326040318,0.47682256011070484
27001,0.3,h_D,C1,h_D->C1,6,0.08064740191318631,0.12375453655149078,0.6516722874153347
27001,0.3,h_D,C2,h_D->C2,6,0.06153968417535884,0.1462124131686035,0.42089233630234957
27001,0.3,h_D,C3,h_D->C3,5,0.0496580741592785,0.10519394677659957,0.47206208798558824
27001,0.3,h_D,C4,h_D->C4,6,0.04439915592604883,0.12611789229129183,0.35204486151060144
27001,0.3,h_D,C6,h_D->C6,6,0.03997165235008197,0.07645915732235363,0.5227843694514934
27001,0.3,h_D,C7,h_D->C7,6,0.03199348838027735,0.10279020953348526,0.3112503469461632
27001,0.3,h_E,C6,h_E->C6,6,0.024558229138854054,0.07645915732235363,0.32119408581754016
27001,0.3,h_I,C2,h_I->C2,6,0.040549640265158476,0.1462124131686035,0.2773337734199195
27001,0.3,h_I,C4,h_I->C4,6,0.044565475965684165,0.12611789229129183,0.3533636279172733
27001,0.3,h_I,C5,h_I->C5,5,0.09689201238805734,0.14441908507355922,0.6709086429818809
27001,0.3,h_T,C3,h_T->C3,5,0.03391335577082753,0.10519394677659957,0.32238885230275605
27001,0.3,h_T,C7,h_T->C7,6,0.04900748017001639,0.10279020953348526,0.47677186759284484
27001,0.4,h_D,C1,h_D->C1,6,0.08046022130278821,0.12395845385218138,0.6490902298449668
27001,0.4,h_D,C2,h_D->C2,6,0.061497418663765124,0.1456797878654426,0.4221410503435465
27001,0.4,h_D,C3,h_D->C3,5,0.0494518662566337,0.1049002351465854,0.4714180686731471
27001,0.4,h_D,C4,h_D->C4,6,0.04429696685442657,0.12587609765077604,0.3519092796868379
27001,0.4,h_D,C6,h_D->C6,6,0.039806269186521075,0.07659784471715969,0.519678710712912
