seed,eta,criterion,min_active_g,max_active_g,min_headroom,max_headroom,max_class_ceiling_excess,min_derivative,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,monotonicity_ok,structural_zero_ok,profile_min,profile_max,profile_mean
21001,0.5,C3,0.0003951349070632738,0.3886847828636421,0.017158818129178854,0.13393740499275267,-0.011315217136357913,0.10060936871958545,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.5,C4,0.0003836396576751411,0.38923984471700446,0.01423876287526682,0.1492759856911246,-0.010760155282995565,0.10060467872865914,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.5,C5,0.0002361752671049384,0.37709016127224143,0.028493588693327132,0.14996403040444886,-0.0142488891980318,0.10000073362227338,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.5,C6,0.0015987925967816648,0.19336712161406128,0.012009440260302318,0.08652070715103088,-0.006632878385938734,0.10080937550518544,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.5,C7,0.00043530711952401396,0.32480975652215943,0.03502228444134867,0.16471406359903273,-0.01965456751450695,0.10050531765179874,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.6,C1,3.4666132822089678e-06,0.3682511903950821,0.04944659144077268,0.14562191480631598,-0.020137737425529295,0.09299269170289998,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.6,C2,0.0006709094674587161,0.3818223650344197,0.038127406017091525,0.1902061740597763,-0.018177634965580336,0.10254781091171675,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.6,C3,0.00033235054894854865,0.3905597769855228,0.017158818129178854,0.13393740499275267,-0.009440223014477223,0.08483428271810145,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.6,C4,0.00033943184347834594,0.3904887473712369,0.01423876287526682,0.1492759856911246,-0.009511252628763123,0.08910704228824018,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.6,C5,0.0002668767447083687,0.38166991744240236,0.028493588693327132,0.14996403040444886,-0.011399446377077238,0.1099936864276178,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.6,C6,0.0015052100837738129,0.19461375565475217,0.012009440260302318,0.08652070715103088,-0.005386244345247843,0.08544627399972489,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.6,C7,0.00042130501306907026,0.33931171371835456,0.03502228444134867,0.16471406359903273,-0.016225287886643153,0.09130966388813304,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.7,C1,3.2051774842904665e-06,0.37593132766190535,0.04944659144077268,0.14562191480631598,-0.015197374026176769,0.08598034817773023,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.7,C2,0.0006027369228442552,0.38566390777990617,0.038127406017091525,0.1902061740597763,-0.014336092220093855,0.10430773021658274,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.7,C3,0.00026956619083382357,0.3924347711074036,0.017158818129178854,0.13393740499275267,-0.007565228892596421,0.06895950873856599,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.7,C4,0.0002952240292815508,0.39173765002546934,0.01423876287526682,0.1492759856911246,-0.00826234997453068,0.07760940584782122,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.7,C5,0.00021840689226155122,0.38624967361256335,0.028493588693327132,0.14996403040444886,-0.008550003556122732,0.11998663923296224,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.7,C6,0.001411627570765961,0.19586038969544303,0.012009440260302318,0.08652070715103088,-0.004139610304556979,0.0700831724942643,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.7,C7,0.0004073029066141266,0.3538136709145496,0.03502228444134867,0.16471406359903273,-0.012796008258779329,0.08096576003575612,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.8,C1,2.9437416863719636e-06,0.3836114649287287,0.04944659144077268,0.14562191480631598,-0.010257010626824187,0.07896800465256049,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.8,C2,0.0005345643782297943,0.3895054505253927,0.038127406017091525,0.1902061740597763,-0.010494549474607318,0.10606764952144876,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.8,C3,0.00020678183271909839,0.39430976522928424,0.017158818129178854,0.13393740499275267,-0.005690234770715785,0.053084734759030555,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.8,C4,0.0002510162150847556,0.3929865526797018,0.01423876287526682,0.1492759856911246,-0.007013447320298238,0.0661117694074023,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.8,C5,0.00016993703981473378,0.3908294297827243,0.028493588693327132,0.14996403040444886,-0.00570056073516817,0.10837436920577931,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.8,C6,0.0013180450577581085,0.19710702373613395,0.012009440260302318,0.08652070715103088,-0.0028929762638660594,0.054720070988803715,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.8,C7,0.0003933008001591829,0.36831562811074486,0.03502228444134867,0.16471406359903273,-0.009366728630915533,0.07062185618337916,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.9,C1,2.6823058884534615e-06,0.39129160219555204,0.04944659144077268,0.14562191480631598,-0.005316647227471605,0.07195566112739073,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
