candidate_id,params,mean_cv_rmse,fold_sd_rmse_ddof0,fold1_rmse,fold2_rmse,fold3_rmse,fold4_rmse,fold5_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,selected
26,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018010739388252605,0.00044081937444989146,0.018178170896345543,0.017496071388302045,0.01877350468434556,0.017875601268836836,0.017730348703433048,200,5,0.05,1.0,0.8,5,0.0,5.0,False
27,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018067468537212954,0.00043771624984581114,0.018166888744623865,0.017504529814369823,0.018793558875463686,0.0181226149636737,0.017749750287933713,400,5,0.05,0.8,0.8,1,0.1,1.0,False
28,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.017786932043851077,0.00036990324680684193,0.018062255410384753,0.01723753463041467,0.0183036771988086,0.01773641808761286,0.017594774892034506,600,2,0.05,0.8,1.0,5,0.1,5.0,False
29,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017757874038186967,0.00039776458248759206,0.018066703352041285,0.017134806212407594,0.01827405582599798,0.017758539188330105,0.01755526561215786,600,2,0.05,0.8,0.8,1,0.0,1.0,False
30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.017911061850829024,0.00038807198024987506,0.018238694821502224,0.017382110339835537,0.018451825800343977,0.017830302629791486,0.01765237566267191,600,2,0.05,1.0,1.0,1,0.0,1.0,False
31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018482181491594092,0.00042369043940010897,0.018520060940840046,0.017947732999539452,0.019222963341793593,0.01848640838047982,0.018233741795317542,400,5,0.1,1.0,0.8,5,0.1,1.0,False
32,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018183349193655284,0.0004531524750578977,0.01816376031728038,0.01764447299373901,0.018990539824410103,0.018222503434255966,0.01789546939859096,600,5,0.05,1.0,0.8,1,0.1,5.0,False
33,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.019250279490210173,0.00044718605472532347,0.01948739501730363,0.018448252775399382,0.019796226664410825,0.019292686254545412,0.01922683673939161,200,2,0.03,1.0,1.0,1,0.0,1.0,False
34,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.01800151558908667,0.00037946583029205787,0.018156614084569745,0.01746715808953056,0.018585012832035713,0.018056004961635067,0.01774278797766226,400,3,0.03,0.8,0.8,5,0.1,5.0,False
35,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018339495130219947,0.00045010298016599266,0.018422241867971072,0.017869658482908835,0.01913747371118173,0.01831319514998356,0.017954906439054535,600,5,0.05,0.8,1.0,5,0.0,1.0,False
36,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018306446315494433,0.00043677909004995993,0.01832440074034577,0.017745036453662176,0.01904815628298921,0.018392508639408115,0.018022129461066887,200,5,0.03,1.0,1.0,5,0.1,5.0,False
37,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.017840226245368934,0.00034242070278837466,0.018077846062270125,0.01728952486964505,0.018304077404295557,0.017765501781128793,0.01776418110950515,600,2,0.05,1.0,0.8,5,0.0,1.0,False
38,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018200719351167915,0.00033062502063477663,0.01833488289606848,0.017804846518111053,0.018747434471364836,0.018185373385047058,0.017931059485248153,600,3,0.1,1.0,1.0,1,0.0,5.0,False
39,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.018198455996481108,0.00045951423738850594,0.018292300734252913,0.0176172375078271,0.018985074766937244,0.018199833527338463,0.017897833446049827,600,5,0.05,0.8,0.8,5,0.0,5.0,False
40,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018017827638210037,0.00032315424493247944,0.018144415598773746,0.01758125547904144,0.01855010734076784,0.01796789361375744,0.017845466158709723,400,3,0.05,1.0,1.0,1,0.0,5.0,False
41,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.018141260280149948,0.0004974042225959673,0.01823913799670788,0.01754278044154049,0.018996612430233734,0.018157205656695048,0.017770564875572586,200,5,0.03,0.8,1.0,1,0.0,5.0,False
42,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017946043525137567,0.00038271926018254934,0.01808909110548105,0.017421229282874966,0.018550503636810448,0.017986863400676796,0.01768253019984458,400,3,0.05,0.8,1.0,1,0.0,1.0,False
43,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018539966531337302,0.00034547128056713997,0.01881599716532093,0.017930284096544107,0.01891582416249489,0.01857668584948949,0.018461041382837096,200,2,0.05,1.0,1.0,1,0.1,1.0,False
44,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018045392735690037,0.00044390150395370967,0.018095223735583355,0.017518157833083456,0.018845284897602455,0.017964635082082733,0.017803662130098173,200,5,0.05,1.0,0.8,5,0.0,1.0,False
45,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017757058913365983,0.00038656530410912385,0.018073452989522752,0.01715408580017788,0.018249955597205453,0.017752010381006947,0.017555789798916897,600,2,0.05,0.8,0.8,5,0.0,1.0,True
46,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.01849122960670608,0.0005741056995075846,0.01857035028695987,0.01774502273421686,0.019462427571176652,0.01855761652917204,0.018120730912004984,400,5,0.1,0.8,1.0,1,0.1,5.0,False
47,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018745276019252334,0.0005199312565390551,0.018799470253150607,0.018040052213734812,0.01959696929464107,0.01887499908518868,0.018414889249546512,600,5,0.1,0.8,1.0,1,0.1,1.0,False
