seed,eta,criterion,min_active_g,max_active_g,min_headroom,max_headroom,max_class_ceiling_excess,min_derivative_margin_vs_theta,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
21001,0.8,C5,0.00017338184307647854,0.37585971706456645,0.028493588693327132,0.14996403040444886,-0.008551008985723835,0.01142435401514369,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.8,C6,0.002345130901465081,0.196675935893269,0.012009440260302318,0.08652070715103088,-0.0033240641067310006,0.0049558098924823435,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.8,C7,0.0005816446213527182,0.3663916007414608,0.03502228444134867,0.16471406359903273,-0.014718003362299253,0.01408190751027355,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.9,C1,5.142352338148926e-06,0.3583436776503776,0.04944659144077268,0.14562191480631598,-0.011813919426463704,0.022251297950769744,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.9,C2,0.0005182839632360302,0.38252935924694714,0.038127406017091525,0.1902061740597763,-0.01747064075305288,0.017207918836051328,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,0.9,C3,0.0004981286962399309,0.39247595024116777,0.017158818129178854,0.13393740499275267,-0.007524049758832252,0.007736669373527794,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.9,C4,0.0006139614479615731,0.393146367432324,0.01423876287526682,0.1492759856911246,-0.005728909063429211,0.0064368521714784355,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,0.9,C5,0.00018520663338247826,0.378876501643838,0.028493588693327132,0.14996403040444886,-0.006057872196088748,0.012852398267036658,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.9,C6,0.0024138044910560876,0.19786868395360177,0.012009440260302318,0.08652070715103088,-0.0021313160463982406,0.0055752861290426226,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.9,C7,0.0006056812554110713,0.38065305451649545,0.03502228444134867,0.16471406359903273,-0.011957633075858398,0.015842145949057723,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,1.0,C1,5.3526900591610295e-06,0.369957987367476,0.04944659144077268,0.14562191480631598,-0.0005674384485339079,0.024723664389744132,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,1.0,C2,0.0005382022740206122,0.3957663551278729,0.038127406017091525,0.1902061740597763,-0.004233644872127129,0.019119909817834846,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,1.0,C3,0.0005245747519526436,0.3961405586485425,0.017158818129178854,0.13393740499275267,-0.0038594413514575487,0.008596299303919808,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,1.0,C4,0.0006277274160714154,0.39427426031971086,0.01423876287526682,0.1492759856911246,-0.001583158525797046,0.007152057968309367,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,1.0,C5,0.00019703142368847804,0.38189328622310964,0.028493588693327132,0.14996403040444886,-4.0317420892943545e-06,0.014280442518929626,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,1.0,C6,0.0024824780806470947,0.19906143201393456,0.012009440260302318,0.08652070715103088,-0.0009385679860654528,0.006194762365602929,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,1.0,C7,0.0006297178894694242,0.3949145082915301,0.03502228444134867,0.16471406359903273,-0.005085491708469947,0.017602384387841924,0.0,True,True,True,True,True,0.0,1.0,0.5
