seed,p,criterion,min_active_g,max_active_g,min_headroom,max_headroom,min_shape,max_shape,min_shape_derivative,min_total_derivative_margin_vs_theta,max_class_ceiling_excess,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,shape_bounds_ok,monotonicity_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
23001,3,C4,0.00014496357835328124,0.39662757533737614,0.06197270854704928,0.13832938404885242,1.298750408842475e-08,0.9999993100903309,1.6575693955813755e-05,2.2929055350923155e-06,-0.0008673276195710622,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,3,C5,3.637533860557371e-05,0.39976325373599514,0.007694173528173531,0.14105929532498002,2.350574254385695e-10,0.9999999997802266,1.0925416460491864e-06,8.40620500985878e-09,-0.00010815947307973861,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,3,C6,0.00016703879966446086,0.19931703671320267,0.0033246798993044613,0.14557016463178535,4.8225206495499656e-09,0.9999989955898545,8.563224277284914e-06,8.660114912822925e-07,-0.0006829632867973445,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,3,C7,0.0006045065836682728,0.39780913688027897,0.03134692122486615,0.12998841722820823,9.176430499376575e-08,0.9999996966868687,6.1033804349882195e-05,3.1744874482708685e-06,-0.0011691090714835706,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,4,C1,8.065852652072364e-05,0.39951846037082206,0.04565266846387667,0.18217195427017904,1.1107304115350079e-13,0.9999999999969225,7.696025331435637e-10,3.5134423148619476e-11,-0.00019918587134501453,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,4,C2,0.00042633652757464107,0.39763459019210473,0.0021091653839082625,0.19076174926223538,2.082370759587595e-11,0.9999999952908838,3.8992271333241945e-08,5.627240340366768e-09,-0.0010026881456636494,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23001,4,C3,0.00020291752142376015,0.3960969176839446,0.00438935212190994,0.1480740952178412,2.3320701464930107e-10,0.9999999909345185,2.387075736585607e-07,3.534640798802391e-08,-0.000827700150928784,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,4,C4,0.00014496178602278487,0.39662758787857355,0.06197270854704928,0.13832938404885242,3.052818112408896e-11,0.9999999939038406,5.1950016353699e-08,7.186213762944149e-09,-0.0008672579721773765,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,4,C5,3.637530546900181e-05,0.3997632537376851,0.007694173528173531,0.14105929532498002,1.4506588774970773e-13,0.9999999999998673,8.790935835292672e-10,6.763922755226304e-12,-0.00010815946851738811,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,4,C6,0.00016703831277982377,0.19931716778560454,0.0033246798993044613,0.14557016463178535,8.147645558120195e-12,0.9999999899411549,1.9290082598199862e-08,1.9508344800689414e-09,-0.0006828322143954679,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
