seed,p,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
23003,1,C5,0.044827716838349276,0.03247469017164651,0.1537532920165227
23003,1,C6,0.047088418058291136,0.03979853452350396,0.14672807458980447
23003,1,C7,0.03444538745725317,0.0214622984391837,0.15333232062856592
23003,2,C1,0.037743938941011156,0.031307753011785226,0.12725527949713533
23003,2,C2,0.034874330078127104,0.033181258205839115,0.1135972453673666
23003,2,C3,0.04223009770545866,0.03661516382413425,0.19328903362923094
23003,2,C4,0.05098111487614915,0.04849520296954228,0.15612293859544024
23003,2,C5,0.04520737411493426,0.0365971434950913,0.1537434933846928
23003,2,C6,0.05130249229259731,0.03969282355637517,0.14784645508450184
23003,2,C7,0.03682159052386815,0.020172937757009575,0.1539033305189473
23003,3,C1,0.03805881241145147,0.029879930468357224,0.12725559012508103
23003,3,C2,0.03566710650866881,0.034420294641054346,0.11359732826210112
23003,3,C3,0.0398900225528622,0.03538865192076898,0.19237078131749247
23003,3,C4,0.05036337481852202,0.050361214106441066,0.15612306309849533
23003,3,C5,0.04540441101718537,0.038786241451797564,0.15373369600178804
23003,3,C6,0.05351497739406551,0.038717677293324135,0.14785497952629262
23003,3,C7,0.038077021922731706,0.017610537058547756,0.15390687458903826
23003,4,C1,0.03825779662829513,0.02902628256491939,0.1272555906107744
23003,4,C2,0.036146076371991805,0.03527861335349887,0.11359732842047171
23003,4,C3,0.03857819016909458,0.03423921395155477,0.19145689131898086
23003,4,C4,0.05005183949937346,0.05217943696332495,0.1561230633471567
23003,4,C5,0.04552533640068043,0.04070679453611053,0.15372389986764945
23003,4,C6,0.05483275722505134,0.038082385084398554,0.14785504450069825
23003,4,C7,0.038829011102347315,0.01666275284908146,0.15390689658591258
23003,5,C1,0.03839964492225926,0.028595506981241338,0.1272555906115338
23003,5,C2,0.036457812547714484,0.03623135818592361,0.1135973284207743
23003,5,C3,0.03777113424959197,0.0330485987975104,0.19054734290978792
23003,5,C4,0.04987396898134185,0.05347514293585633,0.15612306334765336
23003,5,C5,0.04561082360985246,0.042185547100446225,0.15371410498211774
23003,5,C6,0.0556895599263895,0.037597228390492954,0.1478550449959416
23003,5,C7,0.03931950486211841,0.015369904365107594,0.15390689672243993
23004,1,C1,0.042031763223786794,0.03574750306845031,0.13547276549885923
23004,1,C2,0.047629220046719524,0.03864632885847312,0.19235545688872716
23004,1,C3,0.05543897968950931,0.05604835937418329,0.15360832495964105
23004,1,C4,0.061443337411044505,0.05217050378672045,0.18071854446921082
23004,1,C5,0.03367328211589853,0.02337566587452139,0.13173899053800692
23004,1,C6,0.035297577920536366,0.02915735468711664,0.10386439475631833
23004,1,C7,0.06516169908459343,0.06182303311246971,0.17099574677845708
23004,2,C1,0.041519063380167545,0.0344310915280929,0.13546563626734703
23004,2,C2,0.05013417543359194,0.03345376028107297,0.19293354457259623
23004,2,C3,0.05878133765062887,0.05758967726487721,0.15360832495964105
23004,2,C4,0.06395793256217784,0.05417867299473884,0.18118115403649743
23004,2,C5,0.030811055208296103,0.019291532891850406,0.13160843560797164
23004,2,C6,0.03833826708982636,0.028858001188630703,0.10403426903670528
23004,2,C7,0.06260007184357709,0.058292225081227764,0.1699157567606172
23004,3,C1,0.04122233244305257,0.03317995939338779,0.1354585089117079
23004,3,C2,0.05133426371667347,0.02880736564722018,0.1929364401266194
23004,3,C3,0.06041926459255797,0.05886001928728351,0.15360832495964105
23004,3,C4,0.06515485794910698,0.05508026551935828,0.18118774859990577
23004,3,C5,0.029342847735411726,0.018209794003732432,0.13147801005944804
23004,3,C6,0.0398535923087389,0.027953267452612677,0.10403565821685719
23004,3,C7,0.06130317978313527,0.0548992158625055,0.16884713523644462
23004,4,C1,0.04102869876232505,0.0320842266239908,0.13545138343144825
23004,4,C2,0.0520030592753171,0.026040152192908672,0.19293645463001277
23004,4,C3,0.061353485742545025,0.06066220058963506,0.15360832495964105
