seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23001,2,h_T,C3,h_T->C3,5,0.033167559926926604,0.11111467783186528,0.29849845739386527
23001,2,h_T,C7,h_T->C7,6,0.04917850763468007,0.10319924595441973,0.4765394085914573
23001,3,h_D,C1,h_D->C1,6,0.07805772257747796,0.1240974293699889,0.6290035415973415
23001,3,h_D,C2,h_D->C2,6,0.05817471297268717,0.1374565386351683,0.4232225949372184
23001,3,h_D,C3,h_D->C3,5,0.04664880994775194,0.11392492861790623,0.40946973163176864
23001,3,h_D,C4,h_D->C4,6,0.04248942665073421,0.12288790828987968,0.34575758707000165
23001,3,h_D,C6,h_D->C6,6,0.03716231265579532,0.08794559796243542,0.4225602362865967
23001,3,h_D,C7,h_D->C7,6,0.031089681233488778,0.10710162107855435,0.2902820790209662
23001,3,h_E,C6,h_E->C6,6,0.02497163345104108,0.08794559796243542,0.2839440975934165
23001,3,h_I,C2,h_I->C2,6,0.03910440366411204,0.1374565386351683,0.2844855839678672
23001,3,h_I,C4,h_I->C4,6,0.04235874872531416,0.12288790828987968,0.34469419582803557
23001,3,h_I,C5,h_I->C5,5,0.09479214373249381,0.1653215198057953,0.5733805486622288
23001,3,h_T,C3,h_T->C3,5,0.03088812697280552,0.11392492861790623,0.2711270250265448
23001,3,h_T,C7,h_T->C7,6,0.04768294965058006,0.10710162107855435,0.44521221219575646
23001,4,h_D,C1,h_D->C1,6,0.07593904481815111,0.12233482382635977,0.6207475716425367
23001,4,h_D,C2,h_D->C2,6,0.05635991851616734,0.13398416814588832,0.42064610539940317
23001,4,h_D,C3,h_D->C3,5,0.043567515401365685,0.11354211999645236,0.38371236508833234
23001,4,h_D,C4,h_D->C4,6,0.040418412656052866,0.12334306793963,0.3276909949694772
23001,4,h_D,C6,h_D->C6,6,0.03511437573490635,0.08921771384640602,0.39358076127084357
23001,4,h_D,C7,h_D->C7,6,0.030338550504936404,0.10932188835317376,0.2775157926896359
23001,4,h_E,C6,h_E->C6,6,0.023618314940803305,0.08921771384640602,0.2647267445251849
23001,4,h_I,C2,h_I->C2,6,0.037938136068697455,0.13398416814588832,0.283153872531458
23001,4,h_I,C4,h_I->C4,6,0.03995816969126831,0.12334306793963,0.3239595897720153
23001,4,h_I,C5,h_I->C5,5,0.09225774687707061,0.16743922113014742,0.5509924511940328
23001,4,h_T,C3,h_T->C3,5,0.02899890967406637,0.11354211999645236,0.2554022214374458
23001,4,h_T,C7,h_T->C7,6,0.04654001124428675,0.10932188835317376,0.42571539830623417
23001,5,h_D,C1,h_D->C1,6,0.07404186873540958,0.12105891025718044,0.611618496957404
23001,5,h_D,C2,h_D->C2,6,0.05477346340573498,0.13119152903787082,0.41750762268733155
23001,5,h_D,C3,h_D->C3,5,0.040832582506167045,0.11372069370198044,0.3590602657842992
23001,5,h_D,C4,h_D->C4,6,0.038330666286404316,0.12275734258321318,0.31224744263349435
23001,5,h_D,C6,h_D->C6,6,0.03314181636200978,0.09090191212518825,0.36458877032204734
23001,5,h_D,C7,h_D->C7,6,0.029896221625889723,0.10988019242923801,0.27208017172768034
23001,5,h_E,C6,h_E->C6,6,0.022734866202720517,0.09090191212518825,0.25010327803842475
23001,5,h_I,C2,h_I->C2,6,0.03700356414801817,0.13119152903787082,0.28205757200264325
23001,5,h_I,C4,h_I->C4,6,0.03809472772184771,0.12275734258321318,0.31032545116976784
23001,5,h_I,C5,h_I->C5,5,0.09052144692013328,0.16879617152443704,0.536276659014698
23001,5,h_T,C3,h_T->C3,5,0.02749711011890249,0.11372069370198044,0.2417951317701277
23001,5,h_T,C7,h_T->C7,6,0.04580738644109548,0.10988019242923801,0.4168848400058836
23002,1,h_D,C1,h_D->C1,6,0.0789888244447732,0.11653159277305904,0.677831844261523
23002,1,h_D,C2,h_D->C2,6,0.05856278968498626,0.1505848319195954,0.38890231464923963
23002,1,h_D,C3,h_D->C3,5,0.04941246716239199,0.10783538681012392,0.45822126320128126
23002,1,h_D,C4,h_D->C4,6,0.04359891188030589,0.12209720978109911,0.3570836054166571
23002,1,h_D,C6,h_D->C6,6,0.03726007697525034,0.07781038028741213,0.47885740741970484
