seed,p,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
23002,1,C1,6,0.0,2.9493090843833346e-16,7.316445543777913e-16,1.2873928859467624e-10,False,False,False
23002,1,C2,6,0.0,1.4117741961260883e-16,1.7970529571352417e-16,7.169659127901044e-12,False,False,False
23002,1,C3,5,0.0,1.4963317594903778e-16,2.0938818017735994e-16,1.7111862855601884e-11,False,False,False
23002,1,C4,6,0.0,1.6011864169946886e-16,2.336749147496729e-16,7.56565534161928e-12,False,False,False
23002,1,C5,5,0.0,1.8624556887679788e-16,4.031500941074138e-16,4.087880355743376e-11,False,False,False
23002,1,C6,6,0.0,1.0707040581466839e-16,1.1690806599661183e-16,1.6140628136423615e-11,False,False,False
23002,1,C7,6,0.0,1.9044901160147567e-16,3.260541871072589e-16,1.6627193594263338e-11,False,False,False
23002,2,C1,6,0.0035227779294538797,0.0942628520894081,0.2437204850704398,0.08930027908921499,True,True,True
23002,2,C2,6,0.0011055425289251408,0.0570335809467189,0.1177303766098427,0.043600463089231684,True,True,True
23002,2,C3,5,0.0021029266456349394,0.07550882264150391,0.3335942264636948,0.06329106369094213,True,True,True
23002,2,C4,6,0.0016132865220963577,0.14003885293015708,0.29882753306164805,0.05315769806736793,True,True,True
23002,2,C5,5,0.001070750671031906,0.07999528799182481,0.16710853704496212,0.05213567713690376,True,True,True
23002,2,C6,6,0.000568284120719853,0.034311535929947276,0.08234784136064068,0.030664282249215517,True,True,True
23002,2,C7,6,0.00160915574669529,0.06235367226699747,0.16434791274025445,0.0536613187509761,True,True,True
23002,3,C1,6,0.007488840726980861,0.1312006528295923,0.31818670681321876,0.10997496415930716,True,True,True
23002,3,C2,6,0.002642461947851338,0.0809552242327986,0.1748237236881678,0.06713240787353357,True,True,True
23002,3,C3,5,0.004047504638483801,0.10372460730904957,0.4164597288199535,0.0729585479737839,True,True,True
23002,3,C4,6,0.003186012554821649,0.15566365237304072,0.3909556111941676,0.0657938272363298,True,True,True
23002,3,C5,5,0.0024920771561652844,0.11029719221485555,0.24128305051486795,0.076564995224582,True,True,True
23002,3,C6,6,0.0013484991261177859,0.05889706844693927,0.12396420960473668,0.04765287323122498,True,True,True
23002,3,C7,6,0.004140398024741088,0.11129770823679395,0.2537039459465422,0.08900848946967255,True,True,True
23002,4,C1,6,0.009895193486982867,0.14576427048976295,0.3538581632703981,0.1193100139873319,True,True,True
23002,4,C2,6,0.003781089803977511,0.10916097706962677,0.21076485673230033,0.08337120172040036,True,True,True
23002,4,C3,5,0.004921296057882052,0.12036188200847395,0.4302447603064268,0.0753095902429503,True,True,True
23002,4,C4,6,0.004051928511498937,0.15975770821398305,0.4198483125052627,0.07485937673082624,True,True,True
23002,4,C5,5,0.0035495904432086833,0.13381350102379902,0.2893874807147377,0.09635934345990785,True,True,True
23002,4,C6,6,0.0019217780889332348,0.0731229508424469,0.1518829266376532,0.05982907056333964,True,True,True
23002,4,C7,6,0.006286832484987848,0.1479260001592782,0.3122211160885866,0.11439555142524338,True,True,True
23002,5,C1,6,0.01117524009765447,0.16913077058513526,0.3751692004320938,0.12485081817155036,True,True,True
23002,5,C2,6,0.004548664686304438,0.1311162922944942,0.23679778197212048,0.09561899667522546,True,True,True
23002,5,C3,5,0.0051670022479477495,0.13274706981006715,0.4222882168618158,0.07642856921863439,True,True,True
23002,5,C4,6,0.00447826737792989,0.1913773362289771,0.42709051432920403,0.08346837430106739,True,True,True
23002,5,C5,5,0.0042766759618866335,0.14480060511289994,0.3254070634683055,0.11340275934329982,True,True,True
23002,5,C6,6,0.0023064026776120627,0.07847838581764927,0.17326481774222904,0.06934578399092098,True,True,True
23002,5,C7,6,0.007945676680066849,0.17577844635698298,0.35455976939514866,0.13321857586095853,True,True,True
23003,1,C1,6,0.0,2.1893527671317463e-16,7.015256740085246e-16,4.607316247547918e-11,False,False,False
23003,1,C2,6,0.0,1.4488304127766424e-16,1.593082999568988e-16,9.920595006583838e-12,False,False,False
23003,1,C3,5,0.0,1.3774076679433129e-16,1.5515341943020443e-16,1.7878005881706425e-11,False,False,False
23003,1,C4,6,0.0,1.5173950596709574e-16,1.7967099753672292e-16,1.0022117135482764e-11,False,False,False
23003,1,C5,5,0.0,4.840145089014813e-16,6.779000332985474e-16,9.165906467095146e-11,False,False,False
23003,1,C6,6,0.0,1.4019611323319784e-16,2.0160867575953323e-16,1.1161177438792053e-11,False,False,False
23003,1,C7,6,0.0,1.397735073462211e-16,1.6954090725836823e-16,1.5831793417481444e-11,False,False,False
