ctx,policy,seed,n,time,co2,dist,p95,ins,bg_t,bg_co2,net_co2,stopped,dflt,wape,bias,demand,bg,restr,signal,mass,speed_ratio
D012,TECO10,8102,654,310.23241590214064,833.6875137584362,3203.7200000000003,336.35,0.6146788990825688,249.01808785529715,613.1871982528231,782535.0797218598,88726,0,0.0611521997474209,-0.0221331498644101,1200,200,U,Arterial,0.0015117763495211,0.35
D012,TECO10,8103,597,300.214405360134,798.5743804806762,3203.7200000000003,323,0.4304857621440536,247.02756892230576,607.6764235974201,719211.7981623342,80078,0,0.0586650321025394,-0.0069894721701779,1200,200,U,Arterial,0.0015595037650729,0.35
D012,TECO15,8101,611,299.76432078559736,797.3701565493983,3203.7200000000003,317,0.3322422258592471,246.98677248677248,607.6499770611385,716884.8569807928,86065,0,0.0555224338877393,0.0152915337997039,1200,200,U,Arterial,0.0015196726212081,0.35
D012,TECO15,8102,654,310.23241590214064,833.6875137584362,3203.7200000000003,336.35,0.6146788990825688,249.01808785529715,613.1871982528231,782535.0797218598,88726,0,0.0611521997474209,-0.0221331498644101,1200,200,U,Arterial,0.0015117763495211,0.35
D012,TECO15,8103,597,300.214405360134,798.5743804806762,3203.7200000000003,323,0.4304857621440536,247.02756892230576,607.6764235974201,719211.7981623342,80078,0,0.0586650321025394,-0.0069894721701779,1200,200,U,Arterial,0.0015595037650729,0.35
D013,SP,8101,611,905.7152209492637,2351.4618714112235,3203.7200000000003,1058,119.40425531914892,236.98677248677248,578.6863631529501,1655486.6487040727,372152,0,0.1085506116467147,0.011560943362713,1200,200,C,Balanced,0.0007245872996332,0.35
D013,SP,8102,654,857.6926605504588,2253.6952250496965,3203.7200000000003,1091.35,100.7217125382263,238.77777777777777,583.9838383188488,1699918.4226118962,355254,0,0.0978196145244835,-0.0241815730374509,1200,200,C,Balanced,0.0007540323363917,0.35
D013,SP,8103,597,791.8525963149078,2243.600307946961,3203.7200000000003,923.2,37.43048576214405,237.02756892230576,579.2319598187086,1570542.935812001,331340,0,0.0922621049403429,-0.031059458142096,1200,200,C,Balanced,0.0007731665883871,0.35
D013,DTT,8101,611,433.64157119476266,1161.0794617236577,3575.4743862520454,660.5,0.3322422258592471,236.98677248677248,578.6863631529501,928162.99638497,153336,0.5866586538461539,0.2562377484450439,0.1059035011592155,1200,200,C,Balanced,0.0011170280287887,0.35
D013,DTT,8102,654,465.4189602446483,1260.8620957536446,3567.772614678899,709.35,0.6100917431192661,238.78552971576227,584.003705400562,1050613.244612901,157009,0.6218732473359506,0.2193318519635869,-0.0054808286693547,1200,200,C,Balanced,0.0011124975914488,0.35
D013,DTT,8103,597,433.6901172529313,1165.2938649721543,3591.5775544388607,589.5999999999998,0.4304857621440536,237.12781954887217,579.5052829970828,926903.045304212,135098,0.637058609392064,0.177393519500971,0.0471061557360992,1200,200,C,Balanced,0.0011673606112482,0.35
D013,ECO,8101,611,623.4991816693945,1704.3111754761735,3648.224549918167,998.5,0.3306055646481178,345.31481481481484,875.9519837460491,1372443.9780719487,291605,0.2477773929107493,0.3118433183495228,-0.1666215270155109,1200,200,C,Balanced,0.0008189089463769,0.35
D013,ECO,8102,654,722.5137614678899,1973.265222200101,3651.838394495412,1092.35,1.0229357798165135,280.76485788113695,698.4020037633684,1560797.0307752895,300680,0.1929350761585826,0.4388384913868415,-0.1086073211253016,1200,200,C,Balanced,0.0007773717779374,0.35
D013,ECO,8103,597,574.7303182579565,1577.3913659666302,3584.6175879396988,849.1999999999999,0.4304857621440536,266.42105263157896,659.8672848922208,1204989.6921540743,219424,0.2672193100085334,0.312667495843814,-0.1144771306203216,1200,200,C,Balanced,0.0009380005950016,0.35
