seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
29001,3,h_I,C4,6,0.026579564532319494,0.2559519613538394,0.10384591073837784
29001,3,h_I,C5,5,0.0569846854949135,0.444766229254934,0.1281227794428742
29001,3,h_T,C3,5,0.017435753506499493,0.167257952376958,0.10424469066221953
29001,3,h_T,C7,6,0.027919946727108416,0.3607876644769673,0.07738609014591195
29001,4,h_D,C1,6,0.045259668662954305,0.4562838228948468,0.09919192044844502
29001,4,h_D,C2,6,0.034892525424356426,0.2655301886383703,0.13140699972013942
29001,4,h_D,C3,5,0.025878443168399653,0.24577137443746572,0.10529478149107399
29001,4,h_D,C4,6,0.02732928656413948,0.2754590103804121,0.09921362356643174
29001,4,h_D,C6,6,0.02256196927359289,0.34735045589490926,0.06495448297344873
29001,4,h_D,C7,6,0.01882129369204613,0.2540782170757558,0.07407677017105449
29001,4,h_E,C6,6,0.015008053237808919,0.23105492570409134,0.06495448297344873
29001,4,h_I,C2,6,0.022631944922577536,0.1722278491298416,0.13140699972013942
29001,4,h_I,C4,6,0.026596881083361633,0.268076904431222,0.09921362356643174
29001,4,h_I,C5,5,0.056316948575353534,0.4734281430426401,0.11895564174309728
29001,4,h_T,C3,5,0.017437721564369686,0.16560860203392228,0.10529478149107399
29001,4,h_T,C7,6,0.028123061296231322,0.3796475093461994,0.07407677017105449
29001,5,h_D,C1,6,0.045312062843124626,0.41320203732474103,0.10966079242029501
29001,5,h_D,C2,6,0.0347184898054724,0.2735210054649187,0.1269317131464399
29001,5,h_D,C3,5,0.026075604152963415,0.278904034730795,0.09349310481597486
29001,5,h_D,C4,6,0.027323763584711235,0.2809867223406605,0.09724218766217599
29001,5,h_D,C6,6,0.022586577169144424,0.3804828133893932,0.05936293670549691
29001,5,h_D,C7,6,0.018802783016380675,0.26958997560908055,0.06974585376785705
29001,5,h_E,C6,6,0.015115124728237051,0.2546222536625752,0.05936293670549691
29001,5,h_I,C2,6,0.022585883890169058,0.17793728084276308,0.1269317131464399
29001,5,h_I,C4,6,0.02677570899536161,0.27535074681892546,0.09724218766217599
29001,5,h_I,C5,5,0.05649726822200063,0.4732541224909892,0.11938040375465105
29001,5,h_T,C3,5,0.017314244469050014,0.1851927423198207,0.09349310481597486
29001,5,h_T,C7,6,0.02793735355953439,0.4005593458232063,0.06974585376785705
29002,0,h_D,C1,6,0.0563018115051659,0.47627001140866887,0.11821405957970178
