seed,candidate_id,criterion,min_active_g,max_active_g,min_theta_minus_delta,min_response_derivative,min_derivative_margin_vs_zero,max_class_ceiling_excess,endpoint_zero_max_abs_error,endpoint_theta_max_abs_error,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,theta_support_ok,monotonicity_ok,endpoint_zero_ok,endpoint_theta_ok,structural_zero_ok,profile_min,profile_max,profile_mean
29003,d29_kernel,C4,0.0013290299590299692,0.21271481565852796,0.10542015378601034,0.1184239243466775,0.1184239243466775,-0.030795208383275013,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
29003,d29_kernel,C5,1.3515828261888329e-05,0.36305795442341465,0.033016498932929114,0.05805507143408008,0.05805507143408008,-0.0030660968703601355,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29003,d29_kernel,C6,0.0003765468297938149,0.17694102311727233,0.06214795030586559,0.08242251730583228,0.08242251730583228,-0.023058976882727678,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29003,d29_kernel,C7,0.0017260811533630327,0.30014916481187665,0.07994794314499358,0.10807033809645067,0.10807033809645067,-0.018052127025766862,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29004,d29_kernel,C1,0.0001584129718193678,0.34265400605539525,0.03807924179016198,0.058111702183515586,0.058111702183515586,-0.005041073701627874,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
29004,d29_kernel,C2,0.0005138405820712918,0.23141857019422185,0.05626940276627278,0.07667256789864607,0.07667256789864607,-0.04310396014840495,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29004,d29_kernel,C3,0.0004954300094059101,0.3402159031775952,0.09065715865984551,0.09120200884935367,0.09120200884935367,-0.02886118534206006,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29004,d29_kernel,C4,0.0005919809692186859,0.37127487166179346,0.038386439896920824,0.07853733633427053,0.07853733633427053,-0.002458600639774211,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29004,d29_kernel,C5,2.9741261655037127e-05,0.3428129957137557,0.01542245594584514,0.015614108995794206,0.015614108995794206,-0.054505557581572994,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29004,d29_kernel,C6,0.0011588672166642723,0.19621675540169337,0.03810361356677974,0.07840203804349,0.07840203804349,-0.0037832445983066454,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29004,d29_kernel,C7,0.0006993924057516181,0.25964522096790915,0.10787741106726305,0.10852379600680015,0.10852379600680015,-0.025306892803095116,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
29005,d29_kernel,C1,1.549749342028478e-05,0.3549472136578912,0.03174162809887422,0.0317904144837921,0.0317904144837921,-0.002912138313471202,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29005,d29_kernel,C2,0.00012415893293491956,0.3821911292838173,0.03166188815419062,0.05180588537616447,0.05180588537616447,-0.0178088707161827,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29005,d29_kernel,C3,0.00033945394014568816,0.37933141737894305,0.038617396801440704,0.06851887633471411,0.06851887633471411,-0.020460025941139798,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29005,d29_kernel,C4,0.00039638156064350543,0.3735243201008581,0.07775805141269253,0.11802267946194965,0.11802267946194965,-0.026475679899141902,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29005,d29_kernel,C5,1.0951507569241376e-05,0.39570166656763206,0.00476708184785047,0.005013617351074778,0.005013617351074778,-0.004298333432367962,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29005,d29_kernel,C6,0.0003430399149225987,0.18528000474861817,0.08572949408256729,0.10844029908846978,0.10844029908846978,-0.014719995251381846,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29005,d29_kernel,C7,0.0001659397237946961,0.3359376967257018,0.03704699639767328,0.037492237687928906,0.037492237687928906,-0.014968196597836908,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
