seed,kappa,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21001,0.6,h_D,C7,h_D->C7,6,0.01990993696283562,0.07701934675957078,0.2585056586461247
21001,0.6,h_E,C6,h_E->C6,6,0.0183249857184171,0.07063119631834237,0.2594460617028908
21001,0.6,h_I,C2,h_I->C2,6,0.02146991535565874,0.11558879456239518,0.1857439160669114
21001,0.6,h_I,C4,h_I->C4,6,0.032996520126921586,0.08176895929353659,0.40353357082687313
21001,0.6,h_I,C5,h_I->C5,5,0.06006711954999604,0.176774026838363,0.33979606972793497
21001,0.6,h_T,C3,h_T->C3,5,0.022174835939306213,0.1253485550608134,0.17690539734080768
21001,0.6,h_T,C7,h_T->C7,6,0.02989060573859345,0.07701934675957078,0.3880921741846767
21001,0.7,h_D,C1,h_D->C1,6,0.04764087820526512,0.0999605646143219,0.4765967298064136
21001,0.7,h_D,C2,h_D->C2,6,0.03408253062303969,0.11803671042575341,0.2887451751223556
21001,0.7,h_D,C3,h_D->C3,5,0.03348407671315913,0.12739014344661254,0.2628466834793149
21001,0.7,h_D,C4,h_D->C4,6,0.03464116050379549,0.08133605310387618,0.4259016657610438
21001,0.7,h_D,C6,h_D->C6,6,0.028935917631998178,0.07300789412363272,0.39633957367132516
21001,0.7,h_D,C7,h_D->C7,6,0.019826185214311468,0.0790735291168437,0.2507310023404216
21001,0.7,h_E,C6,h_E->C6,6,0.01815707769798671,0.07300789412363272,0.24870019763877216
21001,0.7,h_I,C2,h_I->C2,6,0.021377842735518512,0.11803671042575341,0.18111181392829762
21001,0.7,h_I,C4,h_I->C4,6,0.032775455760501296,0.08133605310387618,0.40296344006562534
21001,0.7,h_I,C5,h_I->C5,5,0.05986997618890934,0.1798423858503537,0.3329024796100851
21001,0.7,h_T,C3,h_T->C3,5,0.022169667825426294,0.12739014344661254,0.17402969511956995
21001,0.7,h_T,C7,h_T->C7,6,0.0295150144755646,0.0790735291168437,0.37326036670980267
21001,0.8,h_D,C1,h_D->C1,6,0.04744208966034198,0.10196567529661626,0.4652750989180285
21001,0.8,h_D,C2,h_D->C2,6,0.03394021182353692,0.12152267418155298,0.27929118620736965
21001,0.8,h_D,C3,h_D->C3,5,0.03341760300647765,0.12947836355643916,0.2580941099989493
21001,0.8,h_D,C4,h_D->C4,6,0.034123048609870074,0.08113022655415944,0.42059599804852305
21001,0.8,h_D,C6,h_D->C6,6,0.02892200985076253,0.07591444017225185,0.38098166547440443
21001,0.8,h_D,C7,h_D->C7,6,0.019702612718156445,0.08157327716975388,0.24153268572149922
21001,0.8,h_E,C6,h_E->C6,6,0.017980437914404433,0.07591444017225185,0.23685135362085916
21001,0.8,h_I,C2,h_I->C2,6,0.021208231516679932,0.12152267418155298,0.17452077696069002
21001,0.8,h_I,C4,h_I->C4,6,0.03252290891949481,0.08113022655415944,0.40087289658168135
21001,0.8,h_I,C5,h_I->C5,5,0.05971007143847693,0.18343728727852154,0.3255067294333174
21001,0.8,h_T,C3,h_T->C3,5,0.022095591415050225,0.12947836355643916,0.1706508393214916
21001,0.8,h_T,C7,h_T->C7,6,0.029503811744105046,0.08157327716975388,0.36168476696536256
21001,0.9,h_D,C1,h_D->C1,6,0.04732107750795113,0.10455191476854794,0.4526084253191887
21001,0.9,h_D,C2,h_D->C2,6,0.0336220382651729,0.12382302920039165,0.2715329973916921
21001,0.9,h_D,C3,h_D->C3,5,0.03353797242446309,0.13145627704125518,0.2551264434005131
21001,0.9,h_D,C4,h_D->C4,6,0.033891151808033884,0.0811164070088695,0.41780883864728274
21001,0.9,h_D,C6,h_D->C6,6,0.028777667077129844,0.07908917217307043,0.36386355155914335
21001,0.9,h_D,C7,h_D->C7,6,0.019403310467437804,0.08460927291690859,0.2293284151757656
21001,0.9,h_E,C6,h_E->C6,6,0.017769772141921825,0.07908917217307043,0.22468021416144857
21001,0.9,h_I,C2,h_I->C2,6,0.021053333250473483,0.12382302920039165,0.17002760622364796
21001,0.9,h_I,C4,h_I->C4,6,0.0323422318197617,0.0811164070088695,0.3987138115699157
21001,0.9,h_I,C5,h_I->C5,5,0.05977104451708353,0.18732524389453098,0.3190762935849539
21001,0.9,h_T,C3,h_T->C3,5,0.02197529494045914,0.13145627704125518,0.16716809143617709
21001,0.9,h_T,C7,h_T->C7,6,0.029256873042789608,0.08460927291690859,0.3457880210266767
21001,1.0,h_D,C1,h_D->C1,6,0.04704878726117155,0.10673078812852582,0.44081738817551236
21001,1.0,h_D,C2,h_D->C2,6,0.033324156186305874,0.1268342648411493,0.26273780376130396
21001,1.0,h_D,C3,h_D->C3,5,0.03339968061989102,0.13441723816810772,0.24847765863089324
21001,1.0,h_D,C4,h_D->C4,6,0.033598037092438596,0.08246041967204285,0.4074444106112418
21001,1.0,h_D,C6,h_D->C6,6,0.02852386009435766,0.08200111761829004,0.34784721138541735
21001,1.0,h_D,C7,h_D->C7,6,0.019271236162140548,0.08723308588701367,0.22091659335404212
21001,1.0,h_E,C6,h_E->C6,6,0.017598594559295955,0.08200111761829004,0.2146140817372962
21001,1.0,h_I,C2,h_I->C2,6,0.020823122058033,0.1268342648411493,0.16417584068428412
21001,1.0,h_I,C4,h_I->C4,6,0.032030754268241965,0.08246041967204285,0.3884379244641796
21001,1.0,h_I,C5,h_I->C5,5,0.059182366934900844,0.1927933987218266,0.30697299454731636
21001,1.0,h_T,C3,h_T->C3,5,0.022059937926030247,0.13441723816810772,0.16411539343099035
21001,1.0,h_T,C7,h_T->C7,6,0.02901200709645972,0.08723308588701367,0.3325803140072812
21002,0.0,h_D,C1,h_D->C1,6,0.05438099777725473,0.08524330415920538,0.6379503740851206
21002,0.0,h_D,C2,h_D->C2,6,0.04139537745074999,0.0913497034199943,0.45315283904070525
21002,0.0,h_D,C3,h_D->C3,5,0.020933694293097677,0.07652853962390922,0.2735410135316888
21002,0.0,h_D,C4,h_D->C4,6,0.019580067995233753,0.12063430160980734,0.16230929125285887
21002,0.0,h_D,C6,h_D->C6,6,0.020749016012194792,0.04549930283382854,0.4560293173615829
21002,0.0,h_D,C7,h_D->C7,6,0.022561622316918065,0.07800058085438377,0.2892494141645973
21002,0.0,h_E,C6,h_E->C6,6,0.014087701131781073,0.04549930283382854,0.30962454925786914
21002,0.0,h_I,C2,h_I->C2,6,0.028149299249114936,0.0913497034199943,0.308148775474246
21002,0.0,h_I,C4,h_I->C4,6,0.019536131328750685,0.12063430160980734,0.1619450775433551
21002,0.0,h_I,C5,h_I->C5,5,0.06863807327123164,0.1467063190559602,0.46786037378923134
21002,0.0,h_T,C3,h_T->C3,5,0.014180426780627892,0.07652853962390922,0.18529592816131973
21002,0.0,h_T,C7,h_T->C7,6,0.03466672239635993,0.07800058085438377,0.4444418492297311
21002,0.1,h_D,C1,h_D->C1,6,0.05429035257047968,0.08530616982780832,0.6364176551289207
21002,0.1,h_D,C2,h_D->C2,6,0.04141600402007099,0.09420388891528936,0.43964218989805953
21002,0.1,h_D,C3,h_D->C3,5,0.020958778853246634,0.08057310337688943,0.260121280856585
21002,0.1,h_D,C4,h_D->C4,6,0.019541791894007614,0.12102787237597737,0.161465218798021
21002,0.1,h_D,C6,h_D->C6,6,0.020768415471177557,0.045164898471413924,0.45983531843567876
21002,0.1,h_D,C7,h_D->C7,6,0.022586684821203257,0.07985889945425172,0.2828324078502925
21002,0.1,h_E,C6,h_E->C6,6,0.014041093088577363,0.045164898471413924,0.3108850803053053
21002,0.1,h_I,C2,h_I->C2,6,0.02816107861535793,0.09420388891528936,0.2989375379224756
21002,0.1,h_I,C4,h_I->C4,6,0.01954031546156671,0.12102787237597737,0.16145301968708972
21002,0.1,h_I,C5,h_I->C5,5,0.06873182825101123,0.1437943025809179,0.4779871456440739
21002,0.1,h_T,C3,h_T->C3,5,0.01418267655065603,0.08057310337688943,0.17602246849223366
21002,0.1,h_T,C7,h_T->C7,6,0.03480745479236269,0.07985889945425172,0.435861939368032
21002,0.2,h_D,C1,h_D->C1,6,0.054424779360261716,0.08560902294404021,0.635736485337552
21002,0.2,h_D,C2,h_D->C2,6,0.0414143718290432,0.09698709133958128,0.4270091128273132
21002,0.2,h_D,C3,h_D->C3,5,0.02088193862604867,0.08359826357360067,0.24978914313709674
21002,0.2,h_D,C4,h_D->C4,6,0.019556541522099073,0.11963569886637238,0.163467440799417
21002,0.2,h_D,C6,h_D->C6,6,0.020781937474545494,0.04531499862045503,0.4586105728072557
21002,0.2,h_D,C7,h_D->C7,6,0.022546497185662727,0.08161899375086494,0.2762408129437096
21002,0.2,h_E,C6,h_E->C6,6,0.01405450018795646,0.04531499862045503,0.31015117765670985
