kappa,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
0.5,h_T->C7,h_T,C7,0.39071264994464394,0.37338001554965855,True
0.6,h_D->C1,h_D,C1,0.4877201834428126,0.5562447848993066,False
0.6,h_D->C2,h_D,C2,0.2988274291944502,0.334436750485118,False
0.6,h_D->C3,h_D,C3,0.2443107069737981,0.2848777950083017,False
0.6,h_D->C4,h_D,C4,0.28160012026996123,0.29284425142171366,False
0.6,h_D->C6,h_D,C6,0.41375098138281163,0.43161186520741024,False
0.6,h_D->C7,h_D,C7,0.24669226441692793,0.2525758990201667,False
0.6,h_E->C6,h_E,C6,0.2930068229541236,0.29686897119970923,False
0.6,h_I->C2,h_I,C2,0.19868695484424648,0.212043213358731,False
0.6,h_I->C4,h_I,C4,0.2951731225232465,0.29490518692082546,True
0.6,h_I->C5,h_I,C5,0.4708253930491446,0.4552711586651893,True
0.6,h_T->C3,h_T,C3,0.1631582949619736,0.18699477333676978,False
0.6,h_T->C7,h_T,C7,0.3811046646441007,0.37338001554965855,True
0.7,h_D->C1,h_D,C1,0.4765967298064136,0.5562447848993066,False
0.7,h_D->C2,h_D,C2,0.2932008745136849,0.334436750485118,False
0.7,h_D->C3,h_D,C3,0.2363581516144155,0.2848777950083017,False
0.7,h_D->C4,h_D,C4,0.271234196047518,0.29284425142171366,False
0.7,h_D->C6,h_D,C6,0.4123718634853249,0.43161186520741024,False
0.7,h_D->C7,h_D,C7,0.2388500254231701,0.2525758990201667,False
0.7,h_E->C6,h_E,C6,0.29017327805791776,0.29686897119970923,False
0.7,h_I->C2,h_I,C2,0.1951867180196837,0.212043213358731,False
0.7,h_I->C4,h_I,C4,0.2846748288842056,0.29490518692082546,False
0.7,h_I->C5,h_I,C5,0.46722659100156055,0.4552711586651893,True
0.7,h_T->C3,h_T,C3,0.15504976140975085,0.18699477333676978,False
0.7,h_T->C7,h_T,C7,0.372138091941504,0.37338001554965855,False
0.8,h_D->C1,h_D,C1,0.4670169124070484,0.5562447848993066,False
0.8,h_D->C2,h_D,C2,0.286379598834215,0.334436750485118,False
0.8,h_D->C3,h_D,C3,0.22589632581312963,0.2848777950083017,False
0.8,h_D->C4,h_D,C4,0.262460372138614,0.29284425142171366,False
0.8,h_D->C6,h_D,C6,0.4063734787277718,0.43161186520741024,False
0.8,h_D->C7,h_D,C7,0.2335739843168175,0.2525758990201667,False
0.8,h_E->C6,h_E,C6,0.28538533256783455,0.29686897119970923,False
0.8,h_I->C2,h_I,C2,0.19113237683281317,0.212043213358731,False
0.8,h_I->C4,h_I,C4,0.2746687076024138,0.29490518692082546,False
0.8,h_I->C5,h_I,C5,0.4561006095775527,0.4552711586651893,True
0.8,h_T->C3,h_T,C3,0.14788649013016603,0.18699477333676978,False
0.8,h_T->C7,h_T,C7,0.36168476696536256,0.37338001554965855,False
0.9,h_D->C1,h_D,C1,0.4593864728351621,0.5562447848993066,False
0.9,h_D->C2,h_D,C2,0.2808462815165554,0.334436750485118,False
0.9,h_D->C3,h_D,C3,0.2174355002578661,0.2848777950083017,False
0.9,h_D->C4,h_D,C4,0.26391543995277167,0.29284425142171366,False
0.9,h_D->C6,h_D,C6,0.39889080826420575,0.43161186520741024,False
0.9,h_D->C7,h_D,C7,0.22833902533698464,0.2525758990201667,False
0.9,h_E->C6,h_E,C6,0.2782361889027356,0.29686897119970923,False
0.9,h_I->C2,h_I,C2,0.18589834314571857,0.212043213358731,False
0.9,h_I->C4,h_I,C4,0.27266453929373097,0.29490518692082546,False
0.9,h_I->C5,h_I,C5,0.4477042762197164,0.4552711586651893,False
0.9,h_T->C3,h_T,C3,0.1439450330606551,0.18699477333676978,False
0.9,h_T->C7,h_T,C7,0.3476045447217914,0.37338001554965855,False
1.0,h_D->C1,h_D,C1,0.4482009634359676,0.5562447848993066,False
1.0,h_D->C2,h_D,C2,0.27698010308810206,0.334436750485118,False
1.0,h_D->C3,h_D,C3,0.21312706936592324,0.2848777950083017,False
1.0,h_D->C4,h_D,C4,0.26814114849974097,0.29284425142171366,False
1.0,h_D->C6,h_D,C6,0.3884685423412647,0.43161186520741024,False
1.0,h_D->C7,h_D,C7,0.2216810691690161,0.2525758990201667,False
1.0,h_E->C6,h_E,C6,0.2710420449128257,0.29686897119970923,False
1.0,h_I->C2,h_I,C2,0.18347055657945557,0.212043213358731,False
1.0,h_I->C4,h_I,C4,0.2762197813219223,0.29490518692082546,False
1.0,h_I->C5,h_I,C5,0.43941651050954916,0.4552711586651893,False
1.0,h_T->C3,h_T,C3,0.1399929350595563,0.18699477333676978,False
1.0,h_T->C7,h_T,C7,0.33886605558946137,0.37338001554965855,False
