seed,kappa,criterion,min_active_g,max_active_g,max_active_theta,max_g_minus_max_theta,structural_zero_max_abs,lower_bound_ok,upper_bound_ok,structural_zero_ok,curvature_mean
21001,0.5,C3,0.000130569182915472,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.5,C4,0.0006365257273498906,0.3821715092001466,0.3857612371247332,-0.0035897279245866165,0.0,True,True,True,3.700743415417188e-17
21001,0.5,C5,5.911865237725922e-05,0.35419397698035027,0.3541965736154059,-2.5966350556405615e-06,0.0,True,True,True,0.0
21001,0.5,C6,0.0009120793673457631,0.18738976292846599,0.1879905597396977,-0.0006007968112317075,0.0,True,True,True,3.700743415417188e-17
21001,0.5,C7,0.0002730532652860824,0.2509399043771246,0.2550497491738091,-0.004109844796684525,0.0,True,True,True,7.401486830834377e-17
21001,0.6,C1,1.299797819372872e-06,0.32259833936579774,0.3228852371419042,-0.00028689777610646505,0.0,True,True,True,5.551115123125783e-17
21001,0.6,C2,0.00022986993088203815,0.35692934580399466,0.3618725939829085,-0.004943248178913839,0.0,True,True,True,3.700743415417188e-17
21001,0.6,C3,0.00010466018053346312,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.6,C4,0.0005289332895207184,0.38200674475100743,0.3857612371247332,-0.0037544923737257707,0.0,True,True,True,3.700743415417188e-17
21001,0.6,C5,5.518567872701497e-05,0.35419449629213295,0.3541965736154059,-2.07732327295318e-06,0.0,True,True,True,0.0
21001,0.6,C6,0.0007353468038675105,0.18744092523203784,0.1879905597396977,-0.0005496345076598519,0.0,True,True,True,3.700743415417188e-17
21001,0.6,C7,0.00024979360856612013,0.25066789114431276,0.2550497491738091,-0.004381858029496366,0.0,True,True,True,7.401486830834377e-17
21001,0.7,C1,9.748786477616841e-07,0.32266966812774034,0.3228852371419042,-0.00021556901416386332,0.0,True,True,True,5.551115123125783e-17
21001,0.7,C2,0.00020844346623474276,0.35662205201107705,0.3618725939829085,-0.005250541971831446,0.0,True,True,True,3.700743415417188e-17
21001,0.7,C3,7.875117815145423e-05,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.7,C4,0.0003979571800037523,0.38184198030186833,0.3857612371247332,-0.003919256822864869,0.0,True,True,True,3.700743415417188e-17
21001,0.7,C5,5.12527050767707e-05,0.35419501560391564,0.3541965736154059,-1.5580114902657982e-06,0.0,True,True,True,0.0
21001,0.7,C6,0.000558614240389258,0.18749208753560964,0.1879905597396977,-0.0004984722040880518,0.0,True,True,True,3.700743415417188e-17
21001,0.7,C7,0.00022653395184615784,0.2503958779115009,0.2550497491738091,-0.004653871262308207,0.0,True,True,True,7.401486830834377e-17
21001,0.8,C1,6.499594761504955e-07,0.32274099688968294,0.3228852371419042,-0.00014424025222126158,0.0,True,True,True,5.551115123125783e-17
21001,0.8,C2,0.00018701700158744737,0.3563147582181594,0.3618725939829085,-0.005557835764749108,0.0,True,True,True,3.700743415417188e-17
21001,0.8,C3,5.2842175769445324e-05,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.8,C4,0.0002669810704867861,0.3816772158527292,0.3857612371247332,-0.004084021272004024,0.0,True,True,True,3.700743415417188e-17
21001,0.8,C5,4.731973142652645e-05,0.3541955349156984,0.3541965736154059,-1.0386997075229054e-06,0.0,True,True,True,0.0
21001,0.8,C6,0.0003818816769110053,0.1875432498391815,0.1879905597396977,-0.00044730990051619623,0.0,True,True,True,3.700743415417188e-17
21001,0.8,C7,0.00020327429512619554,0.2501238646786891,0.2550497491738091,-0.0049258844951200476,0.0,True,True,True,7.401486830834377e-17
21001,0.9,C1,3.2504030453930757e-07,0.32281232565162554,0.3228852371419042,-7.291149027865984e-05,0.0,True,True,True,5.551115123125783e-17
21001,0.9,C2,0.00013779034903059346,0.3560074644252417,0.3618725939829085,-0.005865129557666771,0.0,True,True,True,3.700743415417188e-17
21001,0.9,C3,2.6933173387436446e-05,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.9,C4,0.00013600496096982022,0.3815124514035901,0.3857612371247332,-0.004248785721143122,0.0,True,True,True,3.700743415417188e-17
21001,0.9,C5,4.3386757776282194e-05,0.3541960542274811,0.3541965736154059,-5.193879247800126e-07,0.0,True,True,True,0.0
21001,0.9,C6,0.00020514911343275284,0.1875944121427533,0.1879905597396977,-0.00039614759694439616,0.0,True,True,True,3.700743415417188e-17
21001,0.9,C7,0.00011507296390790362,0.24985185144587724,0.2550497491738091,-0.005197897727931888,0.0,True,True,True,7.401486830834377e-17
21001,1.0,C1,1.211329281196567e-10,0.32288365441356814,0.3228852371419042,-1.5827283360581035e-06,0.0,True,True,True,5.551115123125783e-17
21001,1.0,C2,4.915175813343169e-06,0.35570017063232406,0.3618725939829085,-0.006172423350584433,0.0,True,True,True,3.700743415417188e-17
21001,1.0,C3,1.0241710054275643e-06,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,1.0,C4,5.028851452854201e-06,0.3813476869544509,0.3857612371247332,-0.004413550170282277,0.0,True,True,True,3.700743415417188e-17
21001,1.0,C5,7.828461779282073e-07,0.3541965735392638,0.3541965736154059,-7.614209263095972e-11,0.0,True,True,True,0.0
21001,1.0,C6,2.841654995450033e-05,0.18764557444632515,0.1879905597396977,-0.0003449852933725406,0.0,True,True,True,3.700743415417188e-17
21001,1.0,C7,4.808666323755883e-06,0.2495798382130654,0.2550497491738091,-0.005469910960743729,0.0,True,True,True,7.401486830834377e-17
21002,0.0,C1,0.00011792825256847758,0.3491004386128818,0.34921804574063176,-0.00011760712774994131,0.0,True,True,True,3.700743415417188e-17
21002,0.0,C2,0.0005272275907643854,0.29088893098661794,0.2928222552156142,-0.0019333242289962804,0.0,True,True,True,5.551115123125783e-17
21002,0.0,C3,0.0008080217613189326,0.33534670851826537,0.33649646827274804,-0.001149759754482671,0.0,True,True,True,0.0
21002,0.0,C4,0.00022010230967645645,0.36407165353589205,0.36681709869596135,-0.002745445160069304,0.0,True,True,True,5.551115123125783e-17
21002,0.0,C5,6.558838021334454e-05,0.3691230571156786,0.3692181014061877,-9.504429050910534e-05,0.0,True,True,True,0.0
21002,0.0,C6,0.0002406149593519045,0.146032608738279,0.1466646246821684,-0.0006320159438893969,0.0,True,True,True,5.551115123125783e-17
21002,0.0,C7,0.0019513150756408056,0.3804455518873052,0.3819528129804527,-0.0015072610931474717,0.0,True,True,True,3.700743415417188e-17
21002,0.1,C1,0.00011086037089238761,0.34910278996329924,0.34921804574063176,-0.00011525577733251247,0.0,True,True,True,3.700743415417188e-17
