seed,kappa,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
21002,0.4,A1,514,0.514,486,0.05319032760257636,0.0,0.23565383019753983,0.10944511852381968,0.08070148828187435,0.3150401993968577
21002,0.5,A1,517,0.517,483,0.05250516602202,0.0,0.2299341961229887,0.10870634787167703,0.08151751622862626,0.3132217425574659
21002,0.6,A1,526,0.526,474,0.05239302749045389,0.0,0.2278643188848708,0.11053381327099975,0.08155477718554795,0.31695063405078766
21002,0.7,A1,531,0.531,469,0.052887106526065326,0.0,0.2264481581402916,0.11276568555664247,0.08546043475447178,0.31518721813633893
21002,0.8,A1,520,0.52,480,0.05379366837093689,0.0,0.22724747435028017,0.11207014243945185,0.08892530208758248,0.3162892396485952
21002,0.9,A1,512,0.512,488,0.05503813290010141,0.0,0.23022854025825984,0.1127830592215193,0.09017368101348823,0.3163341271660427
21002,1.0,A1,499,0.499,501,0.056417515271960726,0.0001151121434379192,0.23179916533204284,0.1126098109220773,0.08931437812383183,0.3026755532510269
21003,0.0,A2,761,0.761,239,0.04453549050247285,0.0,0.28948414553810775,0.1863409644454931,0.1741235381048839,0.4010505667483874
21003,0.1,A2,773,0.773,227,0.04054242433650815,0.0,0.27450522153413975,0.1786009882665557,0.16411416439897505,0.388530555771984
21003,0.2,A2,794,0.794,206,0.03690594769420125,0.0,0.2612975099505348,0.1791550858941808,0.1671218786457785,0.37968391128750534
21003,0.3,A2,805,0.805,195,0.03366564275553543,0.0,0.24764947001553295,0.17264432182325862,0.16108667266559148,0.37508239440820046
21003,0.4,A2,814,0.814,186,0.03064896325643545,0.0,0.23419336335886579,0.16477937234642714,0.1552954318197691,0.36776204707361243
21003,0.5,A2,827,0.827,173,0.02793763852112713,0.0,0.22191671668566249,0.16148924000651518,0.1486729364134427,0.3545336927263223
21003,0.6,A2,839,0.839,161,0.025478977752084568,0.0,0.1986869115155901,0.15825452019928302,0.1422996861389425,0.3383915426155855
21003,0.7,A2,847,0.847,153,0.023240846779513206,0.0,0.188260322342,0.15190095934322356,0.13608543841737766,0.33429820222263396
21003,0.8,A2,857,0.857,143,0.021166501282917593,0.0,0.17492434706466306,0.14801749148893423,0.1323856851678211,0.32379780946411135
21003,0.9,A2,865,0.865,135,0.019298590761438136,0.0,0.15915384100605792,0.142952524158801,0.12370186883492619,0.31769810848185187
21003,1.0,A2,876,0.876,124,0.017590017861771307,0.0,0.15026497740813954,0.1418549827562202,0.12293777634727801,0.3145826754870658
21004,0.0,A2,771,0.771,229,0.024730159529102017,0.0,0.17201214728401676,0.10799196300917911,0.0821650560532659,0.2838736040309588
21004,0.1,A2,744,0.744,256,0.02909466158051846,0.0,0.19008714447321878,0.11365102179890024,0.091076260830815,0.3012584979929783
21004,0.2,A2,715,0.715,285,0.034342900000964564,0.0,0.2054186077999259,0.12050140351215634,0.10137713912122523,0.31534016608464666
21004,0.3,A2,672,0.672,328,0.04049768143192321,0.0,0.2240182372162724,0.12346854095098542,0.10282756481938884,0.3239168433225799
21004,0.4,A2,625,0.625,375,0.04774003679109231,0.0,0.24500182676798055,0.12730676477624617,0.09979000389317229,0.3308414549647643
21004,0.5,A2,575,0.575,425,0.05609852879267112,0.0,0.2658766696144326,0.13199653833569674,0.11029739996250411,0.3441305565801788
21004,0.6,A2,514,0.514,486,0.06567024628176292,0.0,0.2879589491084834,0.13512396354272208,0.10967682435716941,0.3464607133800118
21004,0.7,A3,505,0.505,495,0.06199535759817914,0.0,0.24205790371501162,0.12524314666298816,0.1141018210031393,0.28561356742617194
21004,0.8,A3,543,0.543,457,0.055819853546001386,0.0,0.23472999396276248,0.12214409966302273,0.10830170475297451,0.2785670023847417
21004,0.9,A3,572,0.572,428,0.05145413946615458,0.0,0.22734921865323535,0.12021995202372567,0.10497084278209037,0.26940055458854584
21004,1.0,A3,583,0.583,417,0.04851297914291258,0.0,0.22457293129188147,0.11633807947940668,0.09956357673768931,0.2636538283582043
21005,0.0,A2,875,0.875,125,0.010305227486409952,0.0,0.08205295143968132,0.08244181989127962,0.057073259668872695,0.23133901328645481
21005,0.1,A2,850,0.85,150,0.01261244267438704,0.0,0.1020869870237646,0.08408295116258027,0.06133116251467198,0.22348870966253978
21005,0.2,A2,814,0.814,186,0.01582485253736114,0.0,0.12060959695368828,0.08507985235140397,0.0658187272829476,0.2196732120030192
21005,0.3,A2,776,0.776,224,0.020050150271907943,0.0,0.13949921186726663,0.08950959942816046,0.06581052809229276,0.2339654006867921
21005,0.4,A2,740,0.74,260,0.025289148506826252,0.0,0.16957418428378773,0.0972659557954856,0.07301622996649798,0.2484842161008397
21005,0.5,A2,696,0.696,304,0.031629038147217854,0.0,0.19311687270218994,0.10404288864216402,0.08077151765187776,0.26332599681020175
21005,0.6,A2,659,0.659,341,0.03902583401069103,0.0,0.22041504614722765,0.11444526102841944,0.09101825815343234,0.28972999808794203
21005,0.7,A2,614,0.614,386,0.047564177477552455,0.0,0.23675358944631264,0.12322325771386648,0.0987543066836982,0.3139166722309987
21005,0.8,A2,572,0.572,428,0.05728731391799742,0.0,0.26019389860524644,0.1338488642943865,0.11036288799449309,0.33464175250068
21005,0.9,A2,530,0.53,470,0.06827091568655161,0.0,0.2872574043624198,0.1452572674181949,0.12238183752212786,0.3584116809991732
21005,1.0,A2,484,0.484,516,0.08062353647367379,0.00928119923622939,0.30848954180281124,0.15624716370867014,0.13431440272956557,0.3916804467951509
