seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
21002,3,h_I,C4,6,0.020339800560317325,0.17090589130673442,0.11901169938982054
21002,3,h_I,C5,5,0.06470282057262583,0.45180647855817757,0.14320914737357504
21002,3,h_T,C3,5,0.013890386107250515,0.18635830500917278,0.0745359113798575
21002,3,h_T,C7,6,0.0329156670286702,0.4066295305621663,0.08094755681604723
21002,4,h_D,C1,6,0.04822650225122569,0.626697596297102,0.07695338634701893
21002,4,h_D,C2,6,0.0387683097412844,0.4610658978732088,0.08408409713156548
21002,4,h_D,C3,5,0.018004734772072158,0.2340312491329731,0.07693303709885384
21002,4,h_D,C4,6,0.02273121811313961,0.18810054988827113,0.12084610133491638
21002,4,h_D,C6,6,0.018143190767015625,0.36571605620846376,0.04961004708064557
21002,4,h_D,C7,6,0.02104722841283404,0.2847483431186621,0.07391519185689645
21002,4,h_E,C6,6,0.013041739847928537,0.2628850528294226,0.04961004708064557
21002,4,h_I,C2,6,0.026227503417280557,0.31191990295062266,0.08408409713156548
21002,4,h_I,C4,6,0.02304813522004341,0.19072303504418747,0.12084610133491638
21002,4,h_I,C5,5,0.0697594117517196,0.4793730081561329,0.14552219370790986
21002,4,h_T,C3,5,0.012705341607213042,0.16514805714380382,0.07693303709885384
21002,4,h_T,C7,6,0.032594489539676516,0.4409714528285352,0.07391519185689645
21002,5,h_D,C1,6,0.047607941570471046,0.6392248139788821,0.0744776180910346
21002,5,h_D,C2,6,0.040913214684865286,0.45784079794211946,0.08936122527372434
21002,5,h_D,C3,5,0.01944579510002542,0.25568696761941745,0.07605313356726975
21002,5,h_D,C4,6,0.021350062613168488,0.16919806554781974,0.12618384580150657
21002,5,h_D,C6,6,0.01680232765143757,0.43510769387582776,0.03861648021282188
21002,5,h_D,C7,6,0.023130198059349176,0.28544035330435374,0.08103338505330716
21002,5,h_E,C6,6,0.012030222323017965,0.3115307831372996,0.03861648021282188
21002,5,h_I,C2,6,0.027881019695680444,0.3120035519876263,0.08936122527372434
21002,5,h_I,C4,6,0.021133604627372918,0.16748264798054768,0.12618384580150657
21002,5,h_I,C5,5,0.07798413067123693,0.5213897427461507,0.14956974462131625
21002,5,h_T,C3,5,0.01354013522232218,0.17803520495533243,0.07605313356726975
21002,5,h_T,C7,6,0.03566307763843615,0.44010351553912475,0.08103338505330716
21003,0,h_D,C1,6,0.03530163623809907,0.34379078187928425,0.10268348687182309
21003,0,h_D,C2,6,0.037061895860399936,0.3148569715787628,0.11771025959580472
21003,0,h_D,C3,5,0.0340959114055228,0.3123065031053526,0.10917451627226821
21003,0,h_D,C4,6,0.02822323605297114,0.20740603028243976,0.1360772201962022
21003,0,h_D,C6,6,0.022561095880324594,0.42688713100128833,0.052850260037072
21003,0,h_D,C7,6,0.019793090541364834,0.2034312293233597,0.09729622441449108
21003,0,h_E,C6,6,0.016055121013854406,0.3037850902207236,0.052850260037072
21003,0,h_I,C2,6,0.025789252155123392,0.2190909462221885,0.11771025959580472
21003,0,h_I,C4,6,0.029012128002565127,0.21320341465324574,0.1360772201962022
