seed,rotation,criterion,alternative_a,alternative_b,contexts_used,lrv
21001,3,C1,A3,A5,1000,0.39149712924386704
21001,3,C1,A3,A6,1000,0.21792259547421675
21001,3,C1,A4,A5,1000,0.031493284840688494
21001,3,C1,A4,A6,1000,0.20638814614942294
21001,3,C1,A5,A6,1000,0.17500867682033483
21001,3,C2,A1,A2,1000,0.05328236293678326
21001,3,C2,A1,A3,1000,0.09436294661751025
21001,3,C2,A1,A4,1000,0.27990086418553123
21001,3,C2,A1,A5,1000,0.17813135130394533
21001,3,C2,A1,A6,1000,0.03002965411123035
21001,3,C2,A2,A3,1000,0.04110893074827979
21001,3,C2,A2,A4,1000,0.33250121659041454
21001,3,C2,A2,A5,1000,0.23111512832677852
21001,3,C2,A2,A6,1000,0.08329390616908947
21001,3,C2,A3,A4,1000,0.3729155940656035
21001,3,C2,A3,A5,1000,0.2718734344273448
21001,3,C2,A3,A6,1000,0.12434462515895238
21001,3,C2,A4,A5,1000,0.10250821934718082
21001,3,C2,A4,A6,1000,0.2501642376431246
21001,3,C2,A5,A6,1000,0.14821039197237623
21001,3,C3,A1,A2,1000,0.027427802092712807
21001,3,C3,A1,A3,1000,0.41160915045662194
21001,3,C3,A1,A4,1000,0.1977959302782542
21001,3,C3,A1,A6,1000,0.03949635048265
21001,3,C3,A2,A3,1000,0.38482276276314936
21001,3,C3,A2,A4,1000,0.22506054782999116
21001,3,C3,A2,A6,1000,0.06691447593084318
21001,3,C3,A3,A4,1000,0.6026194824347487
21001,3,C3,A3,A6,1000,0.45005019066172225
21001,3,C3,A4,A6,1000,0.15846596908270805
21001,3,C4,A1,A2,1000,0.05419202882276145
21001,3,C4,A1,A3,1000,0.03210767688110273
21001,3,C4,A1,A4,1000,0.22284991933701462
21001,3,C4,A1,A5,1000,0.08793577483158013
21001,3,C4,A1,A6,1000,0.04437346129769034
21001,3,C4,A2,A3,1000,0.022089783816016055
21001,3,C4,A2,A4,1000,0.2765695278979335
21001,3,C4,A2,A5,1000,0.14203259149972214
21001,3,C4,A2,A6,1000,0.09853213637995441
21001,3,C4,A3,A4,1000,0.25469930164737425
21001,3,C4,A3,A5,1000,0.11999578570075921
21001,3,C4,A3,A6,1000,0.07646580910870257
21001,3,C4,A4,A5,1000,0.1352962125437669
21001,3,C4,A4,A6,1000,0.17872933640236102
21001,3,C4,A5,A6,1000,0.04358630748990744
21001,3,C5,A1,A3,1000,0.048307616498120834
21001,3,C5,A1,A4,1000,0.11443895893707186
21001,3,C5,A1,A5,1000,0.4102386334412514
21001,3,C5,A1,A6,1000,0.051476181899785096
21001,3,C5,A3,A4,1000,0.16265542039842662
21001,3,C5,A3,A5,1000,0.4576295673049969
21001,3,C5,A3,A6,1000,0.09975853336322135
21001,3,C5,A4,A5,1000,0.2972344542414053
21001,3,C5,A4,A6,1000,0.06300026982479404
21001,3,C5,A5,A6,1000,0.35953703505830753
21001,3,C6,A1,A2,1000,0.09344145473759476
21001,3,C6,A1,A3,1000,0.17519440727766586
21001,3,C6,A1,A4,1000,0.1687448200933796
21001,3,C6,A1,A5,1000,0.12053398777267302
21001,3,C6,A1,A6,1000,0.06483647733045311
21001,3,C6,A2,A3,1000,0.08193727467071166
21001,3,C6,A2,A4,1000,0.26163888444394373
21001,3,C6,A2,A5,1000,0.21365636816508696
21001,3,C6,A2,A6,1000,0.15815069135512494
21001,3,C6,A3,A4,1000,0.34259394900643525
21001,3,C6,A3,A5,1000,0.2948994031407285
21001,3,C6,A3,A6,1000,0.2396667119995925
21001,3,C6,A4,A5,1000,0.04834425197766481
21001,3,C6,A4,A6,1000,0.1040613777736522
21001,3,C6,A5,A6,1000,0.05575570540402106
21001,3,C7,A1,A2,1000,0.015328372871419048
21001,3,C7,A1,A3,1000,0.2463606801552315
21001,3,C7,A1,A4,1000,0.14394836852373374
21001,3,C7,A1,A5,1000,0.12895816049170028
21001,3,C7,A1,A6,1000,0.07260257313091974
21001,3,C7,A2,A3,1000,0.23115812760135016
21001,3,C7,A2,A4,1000,0.1592291590831583
21001,3,C7,A2,A5,1000,0.14424791122773983
21001,3,C7,A2,A6,1000,0.08791766516375754
21001,3,C7,A3,A4,1000,0.3883977895945051
21001,3,C7,A3,A5,1000,0.37366706496820973
21001,3,C7,A3,A6,1000,0.31816204319701924
21001,3,C7,A4,A5,1000,0.01502823962931853
21001,3,C7,A4,A6,1000,0.07144712856623286
21001,3,C7,A5,A6,1000,0.05642722389034726
21001,4,C1,A1,A2,1000,0.29846353031780715
21001,4,C1,A1,A3,1000,0.2689186520180364
21001,4,C1,A1,A4,1000,0.2008317166637529
21001,4,C1,A1,A5,1000,0.13217458365636334
21001,4,C1,A1,A6,1000,0.051172092911374964
21001,4,C1,A2,A3,1000,0.5630068651510557
21001,4,C1,A2,A4,1000,0.4963905217326185
21001,4,C1,A2,A5,1000,0.42896945512696866
21001,4,C1,A2,A6,1000,0.34910246620892377
21001,4,C1,A3,A4,1000,0.06844772212866598
21001,4,C1,A3,A5,1000,0.13721702285534326
21001,4,C1,A3,A6,1000,0.21803592471543323
21001,4,C1,A4,A5,1000,0.06883358566167048
21001,4,C1,A4,A6,1000,0.1498078326733154
21001,4,C1,A5,A6,1000,0.08105525800980283
21001,4,C2,A1,A2,1000,0.06753944673848897
21001,4,C2,A1,A3,1000,0.1603464885858686
21001,4,C2,A1,A4,1000,0.20221130181769031
21001,4,C2,A1,A5,1000,0.10279993712657835
21001,4,C2,A1,A6,1000,0.03647533131099791
21001,4,C2,A2,A3,1000,0.2275512603914214
21001,4,C2,A2,A4,1000,0.26925159800422876
21001,4,C2,A2,A5,1000,0.1701785092974932
21001,4,C2,A2,A6,1000,0.1039797097451486
21001,4,C2,A3,A4,1000,0.042053131423701984
21001,4,C2,A3,A5,1000,0.057676305767263514
21001,4,C2,A3,A6,1000,0.12396970860642655
21001,4,C2,A4,A5,1000,0.0996953968656291
21001,4,C2,A4,A6,1000,0.1659026780745773
21001,4,C2,A5,A6,1000,0.0663583838734617
21001,4,C3,A1,A2,1000,0.029000940448996725
21001,4,C3,A1,A3,1000,0.4543158518489637
21001,4,C3,A1,A4,1000,0.14713254187770738
21001,4,C3,A1,A6,1000,0.01108270604255216
21001,4,C3,A2,A3,1000,0.4824396355770676
21001,4,C3,A2,A4,1000,0.17603331684906925
21001,4,C3,A2,A6,1000,0.040081910376351594
21001,4,C3,A3,A4,1000,0.31019207715931285
21001,4,C3,A3,A6,1000,0.4435441032222216
21001,4,C3,A4,A6,1000,0.13607940376146724
21001,4,C4,A1,A2,1000,0.05087114833358693
21001,4,C4,A1,A3,1000,0.1541575821860627
21001,4,C4,A1,A4,1000,0.2050247933921078
21001,4,C4,A1,A5,1000,0.11104033613963475
21001,4,C4,A1,A6,1000,0.07796074382647064
21001,4,C4,A2,A3,1000,0.20480189716870212
21001,4,C4,A2,A4,1000,0.2555206674857377
21001,4,C4,A2,A5,1000,0.1617819339055789
21001,4,C4,A2,A6,1000,0.12875924036290912
21001,4,C4,A3,A4,1000,0.05109573486830648
21001,4,C4,A3,A5,1000,0.043221382289734385
21001,4,C4,A3,A6,1000,0.0763258786419605
21001,4,C4,A4,A5,1000,0.09428724628283935
21001,4,C4,A4,A6,1000,0.1273507138068129
21001,4,C4,A5,A6,1000,0.033119938184446925
21001,4,C5,A1,A3,1000,0.18225201317110568
21001,4,C5,A1,A4,1000,0.1491677994814354
21001,4,C5,A1,A5,1000,0.21584382778906835
21001,4,C5,A1,A6,1000,0.08262815565687347
21001,4,C5,A3,A4,1000,0.033175368516455014
